#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,סגור
CurrentMonitorName,שם צג
CurrentMonitorLogicalId,מזהה לוגי של צג
UpdateMonitorButton,עדכון
CreateNewMonitor,הוסף צג
CloseThisMonitor,הסר צג
CloseThisMonitorQueryText,האם אתה בטוח שברצונך להסיר את הצג מהאתר?
ExitApplication,יציאה מהיישום
LogicalIdNotAvailable,המזהה הלוגי %1% כבר נמצא בשימוש של תצוגה או צג שמורים אחרים.
IllegalLogicalId,הערך %1% אינו ערך של מזהה לוגי חוקי.
LogicalIdNotSet,לא הוגדר
LogToAnotherCluster,החלף אתר/משתמש
MonitorSettings,הגדרות צג
CurrentCluster,אתר נוכחי
PrimaryCluster,אתר ראשי
AdditionalClusters,אתרים נוספים
SiteInfo,פרטי אתר
HelpLink,עזרה
NoOtherClustersToLoginTo,אין אתרים אחרים להיכנס אליהם.
VerifyClusterLogout,אתה תנותק מהאתר הנוכחי. האם להמשיך?
NotLoggedToAnyCluster,כרגע אינך מחובר לאף אתר.
VMASiteSettingsClusterStatusConnected,מחובר
VMASiteSettingsClusterStatusUnavailable,לא זמין
VMASiteSettingsClusterStatusAuthenticationFailed,ההתחברות נכשלה
VMASiteSettingsSiteListSiteHeader,אתרים
VMASiteSettingsSiteListStatusHeader,סטטוס
VMASiteSettingsAddSiteCommand,הוספת אתר
VMASiteSettingsRemoveSiteCommand,הסרת אתר

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,חפש אתר
ServerMgmtAddText,חיפוש אתר...
ServerMgmtForgetClusterText,זנח אשכול
ServerMgmtIpAddressLabel,כתובת IP/שם מארח:
ServerMgmtPortLabel,יציאה בסיסית:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,כתובת ה-IP הנתונה אינה חוקית.
ServerAddErrorAlreadyExists,האתר בכתובת ה-IP הנתונה כבר נוסף למערכת.
ServerForgetGeneralError,אירעה שגיאה בעת ניסיון להסיר את האתר.
ServerAddError,לא ניתן למצוא את האתר.
ServerMgmtSearchingLabel,מחפש...
ServerMgmtForgetClusterError,שגיאה בזניחת אתר.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,יציאה במצב חוסר פעילות
IdleTimeoutMessage,אם לא תהיה פעילות לפני המועד שצוין, תנותק מהאתרים הרשומים למטה.
IdleTimeoutSecondsLeft,%1% שניות


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon ריאלטו
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,RTSP גנרי
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,קלט/פלט דיגיטלי מקומי

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,נהל אתר
ClusterMgmtSetupPageTitle,ניהול אתר
ClusterMgmtSetupPageNameHeader,שם
ClusterMgmtSetupPageNameIpAddress,כתובת IP
ClusterMgmtSetupPageNameVersion,גרסה
ClusterMgmtSetupPageNameStatus,סטטוס

ClusterMgmtSetupPageStatusReady,מוכן
ClusterMgmtSetupPageStatusUpgrading,משדרג...
ClusterMgmtSetupPageStatusJoining,מצטרף...
ClusterMgmtSetupPageStatusHandlingJoin,תפוס...
ClusterMgmtSetupPageStatusErrorError,שגיאה
ClusterMgmtSetupPageStatusErrorNotPresent,לא מופיע
ClusterMgmtSetupPageStatusErrorIncompatible,לא תואם
ClusterMgmtSetupPageStatusErrorLicenseViolation,הפרת רשיון
ClusterMgmtSetupPageStatusErrorTimedOut,הזמן שהוקצב הסתיים
ClusterMgmtSetupPageStatusErrorFailed,נכשל
ClusterMgmtSetupPageStatusErrorNetworkError,שגיאת רשת
ClusterMgmtSetupPageStatusErrorJoinError,הפרת כלל צירוף
ClusterMgmtSetupPageStatusErrorAccessDenied,למשתמש אין הרשאה לצרף את %1% ואת %2%

ClusterMgmtSetupPageSelectedServerStatus,סטטוס:
ClusterMgmtSetupPageSelectedServerVersion,גרסה:
ClusterMgmtSetupPageSelectedServerAddress,כתובת IP:
ClusterMgmtSetupPageDetachServer,ניתוק...
ClusterMgmtSetupPageMoveServer,חיבור...

ClusterMgmtSetupPageSetParent,התחבר לאתר האב...
ClusterMgmtSetupPageRemoveParent,התנתק מאתר האב...
ClusterMgmtSetupPageRemoveChild,נתק אתר צאצא...
ClusterMgmtSetupPageParentSiteNameNone,ללא

ClusterMgmtSetupServerIncompatibleMerge,לא ניתן למזג את %1% עם האתר %2%, מכיוון שהם אינם תואמים.
ClusterMgmtSetupServerMergeWarning,הוספת %1% אל %2% תביא למיזוג של כל נתוני התצורה. כל הסרטונים שהוקלטו יישמרו. האם אתה בטוח שברצונך להמשיך?
ClusterMgmtSetupServerDetachWarning,האם אתה בטוח שברצונך להסיר את %1% מ-%2%?
ClusterMgmtSiteSetupConfirmSetParent,חיבור %1% אל%2% יאפשר סנכרון של נתוני ניהול המשתמש. להמשיך?
ClusterMgmtSiteSetupConfirmRemoveParent,ניתוק %1% מ-%2% יעצור את סנכרון נתוני ניהול המשתמש. להמשיך?
ClusterMgmtSetupCannotSetParent,אין אפשרות לחבר את %1% אל %2%.
ClusterMgmtSetupCannotJoinParent,לאתר %1% יש צאצא. האתר המצטרף %2% אינו תומך באתרים צאצאים.
ClusterMgmtSetupCannotLeaveParent,לאתר %1% יש צאצא. השרת האחרון %2% לא יכול לעזוב את האתר.
ClusterMgmtSetupCannotJoinClusterMaxSize,האתר החבר %1% תומך ב-%2% שרתים לכל היותר באתר.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,האתר החבר %1% תומך ב-%2% מכשירים לכל היותר באתר.
ClusterMgmtSetupCannotJoinServerSizeLimit,השרת %1% אינו יכול להצטרף לאתרים עם יותר מ-%2% שרתים או %3% התקנים.
ClusterMgmtSiteSetupConfirmRevokeAccess,ניתוק %1% מ-%2% ישבית את סנכרון הנתונים. להמשיך?
ClusterMgmtSiteSetupErrorCannotLeaveParent,לא ניתן להתנתק מאתר האב.
ClusterMgmtSetupCannotSetParentToItself,לא ניתן לחבר את %1% לעצמו.

ClusterMgmtSetupErrorNotInitialized,השרת מבצע כעת אתחול ולא ניתן להעבירו.
ClusterMgmtSetupErrorInProgress,האתר תפוס כעת ולא ניתן לעבד את הבקשה.
ClusterMgmtSetupErrorIncompatible,שרת זה אינו מתאים לאתר.\nיש לשדרג את השרת.
ClusterMgmtSetupErrorNoCompatibleSites,השרת אינו תואם עם %1%. ייתכן שעליך לשדרג שרת זה.
ClusterMgmtSetupErrorRequirementsUnsatisfied,אירעה שגיאה בעת ניסיון להעביר את השרת.
ClusterMgmtSetupErrorInvalidArgument,אירעה שגיאה בעת ניסיון להעביר את השרת.
ClusterMgmtSetupErrorNotPossible,אירעה שגיאה בעת ניסיון להעביר את השרת.
ClusterMgmtSetupErrorRemoved,אירעה שגיאה בעת ניסיון להעביר את השרת.
ClusterMgmtSetupErrorLicenseViolation,לאתר אין רשיון לעבד בקשה זו.
ClusterMgmtSetupErrorGeneral,אירעה שגיאה בעת ניסיון להעביר את השרת.
ClusterMgmtSetupErrorNoOtherSiteToJoin,אין אתרים זמינים שניתן לחבר לשרת זה.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,לא ניתן להוסיף את השרת %1% לאתר %2% עד שכל השרתים באתר %2% יהפכו לזמינים. הסר או פתור את השרתים שאינם זמינים מהאתר %2% לפני שתוסיף שרת חדש.
ClusterMgmtSetupErrorConflictingLdapDomains,שרת זה משתשמש בתחום Active Directory שגורם להתנגשות.
ClusterMgmtSetupCannotJoinChildToOtherServers,השרת %1%  כבר מחובר לאתר אב.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,אין אתרי אב זמינים. אין אפשרות ליצור משפחת אתרים.
ClusterMgmtSiteSetupSetParentErrorGeneral,אירעה שגיאה בעת הניסיון לחבר לאתר אב.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,אירעה שגיאה בעת ההתנתקות מאתר האב.
ClusterMgmtSiteSetupSetParentErrorNoRoute,אין אפשרות להתחבר לאתר אב. האם ברצונך לחבר באופן ידני באמצעות כתובת ה-IP של האב?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,למשתמש אין הרשאה לחבר את %1% אל %2%
ClusterMgmtSiteSetupManualConnectTitle,התחברות לאתר האם

ClusterMgmtSetupMergingOverlayText,מעביר שרת...
ClusterMgmtSetupDetachOverlayText,מעביר שרת...

ClusterMgmtSetupMergingSiteOverlayText,מתחבר לאתר האב...
ClusterMgmtSetupDetachingSiteOverlayText,מתנתק מאתר האב...

ClusterSelectionFormComboLabel,התחבר אל: 
ClusterMgmtRevokeAccessLabel,נתק אתר צאצא: 

ClusterMgmtSiteFamilyInfoChildSite,אתר צאצא
ClusterMgmtSiteFamilyInfoParentSite,אתר אב

ClusterNetworkSettingsConnectionSpeed,מהירות חיבור:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,לא ידוע
ClusterNetworkSettingsRemoveCluster,הסר אתר
ClusterNetworkSettingsAutomaticClusterLabel,אתר שהתגלה אוטומטית
ClusterNetworkSettingsClusterUnselectedText,בחר אתר מהרשימה
ClusterNetworkSettingsEndpointsLabel,נקודות קצה של האתר:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,מצלמות שהתגלו
DisconnectedDeviceMessage,המצלמות הבאות התגלו אוטומטית.
DisconnectedDeviceConnectText,התחבר
DisconnectedDeviceConnectMessage,עבור אל החלון 'חיבור/ניתוק מצלמות'
DisconnectedDeviceNoConnectText,אל תנתק
DisconnectedDeviceNoConnectMessage,השאר את המצלמות מנותקות

ShowServerConnectionFormCommandText,חיבור/ניתוק מצלמות...


DeviceConnectionSetupTitle,חיבור/ניתוק מצלמות
ConnectionFormFindDeviceLabel,חיפוש מצלמה...
ConnectionFormFocusAllNvrs,הצג את כל השרתים
ConnectionFormDiscoveredLabel,מצלמות שהתגלו
ConnectionFormConnectedLabel,מצלמות מחוברות

ConnectionFormDeviceListNameTitle,שם
ConnectionFormDeviceListIpAddressTitle,כתובת IP
ConnectionFormDeviceListBrandTitle,‏‏סוג
ConnectionFormDeviceListModelTitle,דגם
ConnectionFormDeviceListMacAddressTitle,כתובת MAC
ConnectionFormDeviceListStatusTitle,סטטוס
ConnectionFormSearchingForDevice,מחפש מצלמות...

ConnectionErrorFormDeviceNameTitle,שם
ConnectionErrorFormErrorTitle,הודעת שגיאה

ConnectionFormApiTypeLabel,סוג מצלמה:

ConnectionFormConnectionTypeLabel,סוג חיבור:
ConnectionFormConnectionTypePrimary,יעד ראשוני
ConnectionFormConnectionTypeSecondary,יעד משני
ConnectionFormConnectionTypeTertiary,יעד שלישוני
ConnectionFormPriorityLabel,קדימות רשיון:
ConnectionFormSupportsSecureConnection,בקרת מצלמה:
ConnectionFormSupportsSecureConnectionSecure,מאובטח
ConnectionFormSupportsSecureConnectionUnsecure,לא מאובטח


ConnectionFormConnecting,מתחבר למצלמה...
ConnectionFormDisconnecting,מתנתק ממצלמה...
ConnectionFormAdding,מוסיף מצלמה...
ConnectionFormAddingMany,מוסיף מצלמות...
ConnectionFormChanging,שומר במצלמה...
ConnectionFormModifyingCredentials,נכנס למצלמה...
ConnectionFormChangingCredentials,משנה סיסמה...

ConnectionFormErrorDialogCaption,חיבור/ניתוק מצלמות
ConnectionFormAuthTitle,אימות מצלמה
ConnectionFormAuthCaption,מצלמה זו מחייבת שם משתמש וסיסמה.
ConnectionFormReAuthCaption,הזן את שם המשתמש והסיסמה המעודכנים.
ConnectionFormChangeCredentialsCaption,הזן את הסיסמה החדשה.
ConnectionFormAuthCaptionInvalid,שם המשתמש או הסיסמה שגויים.
ConnectionFormAuthUsernameLabel,שם משתמש:
ConnectionFormAuthPasswordLabel,סיסמה:
ConnectionFormAuthReEnterPasswordLabel,אשר סיסמה:
ConnectionFormAuthPasswordsDoNotMatch,הסיסמאות אינן תואמות.
ConnectionFormNoSettingsToEditWarning,אין הגדרות משותפות לעריכה במקביל עבור המכשירים שנבחרו.

ConnectionFormChangeDeviceTitle,הגדרות חיבור
ConnectionFormConnectDeviceTitle,התחבר למצלמה

ConnectionFormChangeDeviceNvrLabel,החלפה בשרת:
ConnectionFormConnectDeviceNvrLabel,התחבר אל:

DeviceInfoPanelConnectedToTitle,מחובר לשרת %1%
DeviceInfoPanelDisconnectedTitle,המצלמה מנותקת
DeviceInfoPanelDisconnectedText,מצלמה זו אינה מחוברת לשרת והתמונות שלה אינן מוקלטות.
DeviceInfoPanelCameraIncompatibleTitle,אי התאמה בשרת %1%
DeviceInfoPanelCameraIncompatibleText,מצלמה זו אינה תואמת לשרת.
DeviceInfoPanelCameraErrorNetworkTitle,שגיאת רשת בשרת %1%
DeviceInfoPanelCameraErrorNetworkText,ייתכן שלמצלמה זו יש כתובת IP המשויכת למקטע רשת (רשת משנה) שאינה נגישה לאף שרת.
DeviceInfoPanelCameraErrorNotPresentTitle,לא נוכח בשרת %1%
DeviceInfoPanelCameraErrorNotPresentText,ייתכן שהמצלמה מנותקת מהרשת, או שתצורת הרשת לא הוגדרה כהלכה.
DeviceInfoPanelCameraErrorWrongEndpointTitle,לא נוכח בשרת %1%
DeviceInfoPanelCameraErrorWrongEndpointText,התקן לא צפוי מחובר לכתובת ה-IP של מצלמה זו.  ייתכן שהמצלמה מנותקת מהרשת, או שתצורת הרשת לא הוגדרה כהלכה.
DeviceInfoPanelCameraFailedTitle,שגיאת מצלמה בשרת %1%
DeviceInfoPanelCameraFailedText,המצלמה אינה מסוגלת להזרים לשרת.
DeviceInfoPanelCameraUpgradingTitle,המצלמה עוברת שדרוג
DeviceInfoPanelCameraUpgradingText,מצלמה זו עוברת כעת שדרוג ולא ניתן לנתקה.  השדרוג אמור להסתיים תוך מספר דקות.
DeviceInfoPanelCameraErrorLicenseTitle,כשל רשיון בשרת %1%
DeviceInfoPanelCameraErrorLicenseText,רשיון השרת אינו מאפשר למצלמה זו להזרים.
DeviceInfoPanelCameraErrorResourceInUseTitle,לא זמין בשרת %1%
DeviceInfoPanelCameraErrorResourceInUseText,המצלמה כבר מחוברת לשרת אחר.
DeviceInfoPanelCameraErrorAuthFailedTitle,האימות נכשל בשרת %1%
DeviceInfoPanelCameraErrorAuthFailedText,שם המשתמש או הסיסמה שבהם נעשה שימוש עבור מצלמה זו שגויים.
DeviceInfoPanelCameraSecondaryActiveTitle,חיבור משני בשרת %1% (מחובר)
DeviceInfoPanelCameraSecondaryActiveFailoverText,החיבור הראשי של המצלמה לשרת נכשל.
DeviceInfoPanelCameraTertiaryActiveTitle,חיבור שלישוני בשרת %1% (מחובר)
DeviceInfoPanelCameraTertiaryActiveFailoverText,החיבור הראשי והחיבור המשני של המצלמה לשרת נכשלו.
DeviceInfoPanelConnectTitle,חיבור...
DeviceInfoPanelDisconnectTitle,ניתוק
DeviceInfoPanelChangeTitle,עריכה...
DeviceInfoPanelNumberDevicesSelectedText,%1% מכשירים נבחרו
DeviceInfoPanelModifyCredentialsTitle,כניסה למצלמה...
DeviceInfoPanelChangeCredentialsTitle,שנה סיסמה...
DeviceInfoPanelUnselectedText,בחר מצלמה לעיל


DeviceConnectionLicenseMessage,הרישיון של שרת מרכז הבקרה אינו מאפשר חיבורי מצלמה נוספים.
DeviceConnectionLicenseMessageFailover,הרישיון ל-Control Center Server אינו מאפשר חיבור להתקני גיבוי נוספים.
DeviceConnectionLicenseMessageHDPro,רישיון שרת מרכז הבקרה אינו מאפשר חיבורי מצלמה HD Pro.
DeviceConnectionUpdateConnectMessage,אירעה שגיאת תקשורת בעת ניסיון לחבר את המצלמה.
DeviceConnectionUpdateConnectIncompatible,מצלמה זו אינה תואמת לשרת.
DeviceConnectionUpdateConnectResourceInUse,מצלמה זו כבר מחוברת לשרת אחר.
DeviceConnectionUpdateConnectInsufficientResources,בשרת אין מספיק זיכרון זמין כדי לחבר מצלמות נוספות.
DeviceConnectionUpdateConnectAlreadyExists,מצלמה בכתובת IP זו כבר מחוברת לשרת.\nנתק את מצלמה %1% מהשרת לפני חיבור מצלמה זו.
DeviceConnectionUpdateConnectAlreadyExistsNoDevice,מצלמה בכתובת IP זו כבר מחוברת לשרת.
DeviceConnectionUpdateConnectDestinationUnreachable,אירעה שגיאת תקשורת בעת ניסיון לחבר את המצלמה.\nייתכן שכתובת ה-IP של המצלמה שייכת למקטע רשת (רשת משנה) שאינה נגישה לשרת.
DeviceConnectionUpdateConnectAccessDenied,חיבור המצלמה הצליח. ייתכן שהמצלמה לא תהיה זמינה עקב הרשאות גישה שהוגדרו קודם לכן. 
DeviceConnectionUpdateDisconnectMessage,בעת הניסיון לנתק את המצלמה אירעה שגיאת תקשורת.
DeviceConnectionUpdateAddMessage,בעת הניסיון להוסיף את המצלמה אירעה שגיאת תקשורת.
DeviceConnectionUpdateAddNotFound,לא ניתן למצוא את המצלמה.
