#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Sluiten
#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,Clientgegevens upgraden
ClientDataUpgradeFormCaption,Er zijn lokale clientconfiguratiegegevens van Avigilon Control Center 4 gevonden. Dit kunnen opgeslagen weergaven, plattegronden, webpagina's en de siteweergave zijn. Deze gegevens moeten aan een site worden toegevoegd voordat ze kunnen worden gebruikt.
ClientDataUpgradeButtonUpgrade,Upgraden
ClientDataUpgradeButtonUpgradeText,Upgrade lokale clientgegevens en voeg ze toe aan een Avigilon Control Center 5-site. 
ClientDataUpgradeButtonArchive,Niet upgraden
ClientDataUpgradeButtonArchiveText,Avigilon Control Center 4-gegevens niet upgraden
ClientDataUpgradeButtonLater,Annuleren
ClientDataUpgradeButtonLaterText,Bewaar de Avigilon Control Center 4-gegevens en besluit wat te doen bij de volgende aanmelding

ClientDataUpgradeSiteSelectionFormCaption,Selecteer waar de lokale clientgegevens moeten worden toegevoegd:
ClientDataUpgradeSiteSelectionFormSelectAll,Alles selecteren/deselecteren
ClientDataUpgradeSiteSelectionFormButtonUpgrade,Upgraden
ClientDataUpgradeSiteSelectionFormButtonCancel,Annuleren

ClientDataUpgradeSuccess,Upgraden geslaagd
ClientDataUpgradeTransportError,Er is een fout opgetreden bij het communiceren met de site
ClientDataUpgradeAccessDenied,De gebruiker heeft geen toestemming om clientgegevens aan de site toe te voegen
ClientDataUpgradeInternalError,Er is een interne fout opgetreden tijdens het bijwerken van de clientgegevens
ClientDataUpgradeResultFormButtonRetry,Probeer het opnieuw


#################################################
# Log In strings
#################################################

LoginTitle,Aanmelden site
LoginMultiServerLabel,Aanmelden bij:
LoginAllComboItem,Alle sites
LoginUserLabel,Gebruikersnaam:
LoginPasswordLabel,Wachtwoord:
LoginCurrentCredentials,Huidige Windows-referenties gebruiken
LoginNoServerButtonText,Site zoeken...
LoginButtonLabel,Aanmelden
LoginErrorMessage,De gebruikersnaam of het wachtwoord is onjuist op site %1%.
LoginMaxClientsMessage,Het maximumaantal gelijktijdige clientverbindingen is bereikt op site %1%.
LoginLanguageLabel,Taal
LoginFailedValidateOsCreds,Site %1% kon de huidige aangemelde gebruiker van de client niet valideren.
LoginNoServerMessage,Er zijn geen sites beschikbaar om bij aan te melden.
LoginServerLabel,Aanmelden bij %1%
LoginOsUserDisabledMessage,Deze gebruiker is uitgeschakeld op site %1%.
LoginUserDisabledMessage,Gebruiker '%1%'is uitgeschakeld op site %2%.
LoginUserNotFound,De gebruikersnaam of het wachtwoord is onjuist op site %1%.
LoginUnknownErrorMessage,Er is een communicatiefout opgetreden tijdens het aanmelden bij site %1%.
LoginInternalErrorMessage,Er is een interne fout opgetreden tijdens het aanmelden bij site %1%.
LoginSslErrorMessage,Er is een communicatiefout opgetreden tijdens het aanmelden bij site %1%.\nHet SSL-certificaat van de client is wellicht ongeldig.
LoginServerClassConflict,De sites hebben verschillende licentie-edities. \nU kunt zich niet bij beide sites tegelijk aanmelden.
LoginServerVendorIdConflict,Kan niet tegelijk aanmelden bij sites van verschillende leveranciers.
LoginServerMaxServersConflict,Het maximumaantal gelijktijdige verbindingen is voor deze client bereikt.
LoginLicenseViolation,De licentie-editie op site %1% staat geen aanmelding van deze toepassing toe.
LoginAlreadyAuthenticatedMessage,Control Center Client is onverwachts afgesloten toen deze de laatste keer verbonden was met site %1%.\nWacht even voordat u zich opnieuw aanmeldt.
LoginWaitText,Bezig met aanmelden...
LogInCommandText,Aanmelden...
LogInCommandToolTip,Aanmelden bij sites
SystemExplorerLogIn,Aanmelden...

PasswordEmptyErrorText,U moet een wachtwoord opgeven.
PasswordExpiredMessage,Uw wachtwoord op %1% is verlopen.  Voer een nieuw wachtwoord in.
PasswordExpiredSameMessage,U kunt een oud wachtwoord niet opnieuw gebruiken.  Voer een nieuw wachtwoord in.
PasswordMismatchErrorText,De wachtwoorden komen niet overeen.  Probeer het opnieuw.
PasswordEmptyWarning,Wachtwoord is leeg. Doorgaan?

ForcedLogoutFormDescription,Het maximumaantal clientverbindingen is bereikt. Selecteer een gebruiker van wie de verbinding kan worden verbroken, zodat u zich kunt aanmelden:
ForcedLogoutFormUserNameColumn,Gebruikersnaam
ForcedLogoutFormComputerNameColumn,Computernaam
ForcedLogoutFormLoginTime,Aanmeldtijd
ForcedLogoutFormNoSectionError,U moet een gebruiker selecteren.
ForcedLogoutNotification,U bent afgemeld bij '%1%' bij '%2%'
ForcedLogoutAccessDenied,Kan '%1%' niet uitloggen bij '%2%'
ForcedLogoutFailure,Er is een fout opgetreden bij het uitloggen van '%1%' bij '%2%'

LoginNotifyNewConnections,Stel me op de hoogte als aanvullende sites beschikbaar worden
LoginShowPanelOnStartup,Toon dit tabblad bij opstarten
LoginSaveSettingsButtonText,Instellingen opslaan
LoginSaveSettingsPrompt,Wijzigingen van aanmeldingsinstellingen opslaan?
LoginButtonLabelConnect,Aanmelden
LoginSettingsSavedText,Instellingen voor aanmelden site  opgeslagen
LoginPageTitle,Aanmelden site
LoginTooltipSiteUnavailable,Site niet beschikbaar
LoginTooltipSiteConnected,Site verbonden
LoginTooltipSiteAvailable,Site beschikbaar
LoginSearchTextHint,Zoeken...
LoginTooltipSiteConnecting,Verbinden met site...
LoginSelectLoginServerTitle,Een server selecteren
LoginSelectSiteHint,Selecteer een of meer sites om u aan te melden.
LoginNoAvailableSitesHint,Er zijn op dit moment geen sites beschikbaar.

#################################################
# Log Out strings
#################################################

LogOutCommandText,Afmelden
LogOutCommandToolTip,Afmelden
LogOutPromptCaption,Afmelden
LogOutPromptText,Bij alle sites afmelden?
LogOutSinglePromptText,Afmelden bij %1%?
SystemExplorerLogOut,Afmelden

#################################################
# Virtual Matrix strings
#################################################

CurrentMonitorName,Monitornaam
CurrentMonitorLogicalId,Logische monitor-id
UpdateMonitorButton,Bijwerken
CreateNewMonitor,Monitor toevoegen
CloseThisMonitor,Monitor verwijderen
CloseThisMonitorQueryText,Weet u zeker dat u deze monitor van de locatie wilt verwijderen?
ExitApplication,Toepassing afsluiten
LogicalIdNotAvailable,De logische id %1% is al in gebruik door een andere opgeslagen weergave of monitor.
IllegalLogicalId,De waarde %1% is geen geldige logische-id-waarde.
LogicalIdNotSet,Niet ingesteld
LogToAnotherCluster,Site wijzigen
MonitorSettings,Monitorinstellingen
CurrentCluster,Huidige site
PrimaryCluster,Primaire site
AdditionalClusters,Aanvullende sites
SiteInfo,Site-gegevens
HelpLink,Help
NoOtherClustersToLoginTo,Er zijn geen andere sites om bij aan te melden.
VerifyClusterLogout,U wordt afgemeld bij de huidige site. Doorgaan?
NotLoggedToAnyCluster,U bent momenteel niet bij een site aangemeld.
VMASiteSettingsClusterStatusConnected,Verbonden
VMASiteSettingsClusterStatusUnavailable,Niet beschikbaar
VMASiteSettingsClusterStatusAuthenticationFailed,Aanmelding mislukt
VMASiteSettingsSiteListSiteHeader,Sites
VMASiteSettingsSiteListStatusHeader,Status
VMASiteSettingsAddSiteCommand,Site toevoegen
VMASiteSettingsRemoveSiteCommand,Site verwijderen

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,Site zoeken
ServerMgmtAddText,Site zoeken...
ServerMgmtForgetClusterText,Locatie vergeten
ServerMgmtIpAddressLabel,IP-adres/Hostnaam:
ServerMgmtPortLabel,Basispoort:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,Het opgegeven IP-adres is ongeldig.
ServerAddErrorAlreadyExists,De site op het opgegeven IP-adres is al aan het systeem toegevoegd.
ServerForgetGeneralError,Er is een fout opgetreden tijdens het verwijderen van de site.
ServerAddError,Kan de site niet vinden.
ServerMgmtSearchingLabel,Bezig met zoeken...
ServerMgmtForgetClusterError,Fout bij site vergeten.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,Afmelding bij inactiviteit
IdleTimeoutMessage,U wordt bij de hieronder vermelde site(s) afgemeld als er voor de opgegeven tijd geen activiteit is.
IdleTimeoutSecondsLeft,%1% seconden


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon Rialto
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,Algemene RTSP
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,Lokale digitale I/O

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,Site beheren
ClusterMgmtSetupPageTitle,Site-beheer
ClusterMgmtSetupPageNameHeader,Naam
ClusterMgmtSetupPageNameIpAddress,IP-adres
ClusterMgmtSetupPageNameVersion,Versie
ClusterMgmtSetupPageNameStatus,Status

ClusterMgmtSetupPageStatusReady,Klaar
ClusterMgmtSetupPageStatusUpgrading,Upgraden ...
ClusterMgmtSetupPageStatusJoining,Bezig met lid worden...
ClusterMgmtSetupPageStatusHandlingJoin,Bezet...
ClusterMgmtSetupPageStatusErrorError,Fout
ClusterMgmtSetupPageStatusErrorNotPresent,Niet aanwezig
ClusterMgmtSetupPageStatusErrorIncompatible,Niet-compatibel
ClusterMgmtSetupPageStatusErrorLicenseViolation,Schending van gebruiksrecht
ClusterMgmtSetupPageStatusErrorTimedOut,Time-out
ClusterMgmtSetupPageStatusErrorFailed,Mislukt
ClusterMgmtSetupPageStatusErrorNetworkError,Netwerkfout
ClusterMgmtSetupPageStatusErrorJoinError,Samenvoegingsschending
ClusterMgmtSetupPageStatusErrorAccessDenied,Gebruiker heeft geen toestemming om %1% en %2% samen te voegen

ClusterMgmtSetupPageSelectedServerStatus,Status:
ClusterMgmtSetupPageSelectedServerVersion,Versie:
ClusterMgmtSetupPageSelectedServerAddress,IP-adres:
ClusterMgmtSetupPageDetachServer,Verbinding verbreken...
ClusterMgmtSetupPageMoveServer,Verbinding maken...

ClusterMgmtSetupPageSetParent,Verbinden met bovenliggende locatie...
ClusterMgmtSetupPageRemoveParent,Verbinding met bovenliggende locatie verbreken...
ClusterMgmtSetupPageRemoveChild,Verbinding met onderliggende locatie verbreken
ClusterMgmtSetupPageParentSiteNameNone,Geen

ClusterMgmtSetupServerIncompatibleMerge,Kan %1% niet samenvoegen met locatie %2% omdat ze niet compatibel zijn.
ClusterMgmtSetupServerMergeWarning,Door %1% aan %2% toe te voegen, worden alle configuratiegegevens samengevoegd. Alle opgenomen videobeelden worden bewaard. Weet u zeker dat u wilt doorgaan?
ClusterMgmtSetupServerDetachWarning,Weet u zeker dat u %1% wilt verwijderen van %2%?
ClusterMgmtSiteSetupConfirmSetParent,%1% verbinden met %2% voor synchronisatie van gegevens van gebruikersbeheer. Doorgaan?
ClusterMgmtSiteSetupConfirmRemoveParent,Verbinding %1% met %2% verbreken om de synchronisatie van gegevens van gebruikersbeheer te stoppen. Doorgaan?
ClusterMgmtSetupCannotSetParent,Kan %1% niet verbinden met %2%.
ClusterMgmtSetupCannotJoinParent,Locatie %1% heeft een onderliggende locatie. De deelnemende server %2% biedt geen ondersteuning voor onderliggende locaties.
ClusterMgmtSetupCannotLeaveParent,Locatie %1% heeft een onderliggende locatie. De laatste server %2% kan de locatie niet verlaten.
ClusterMgmtSetupCannotJoinClusterMaxSize,Locatielid %1% ondersteunt niet meer dan %2% servers op een locatie.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,Locatielid %1% ondersteunt niet meer dan %2% apparaten op een locatie.
ClusterMgmtSetupCannotJoinServerSizeLimit,Server %1% kan locaties met meer dan %2% servers of %3% apparaten niet samenvoegen.
ClusterMgmtSiteSetupConfirmRevokeAccess,Door de verbinding van %1% met %2% te verbreken zal de datasynchronisatie stoppen. Doorgaan?
ClusterMgmtSiteSetupErrorCannotLeaveParent,Kan de verbinding met bovenliggende locatie niet verbreken.
ClusterMgmtSetupCannotSetParentToItself,Kan %1% niet verbinden met zichzelf.

ClusterMgmtSetupErrorNotInitialized,De server wordt momenteel geïnitialiseerd en kan niet worden verplaatst.
ClusterMgmtSetupErrorInProgress,De site is bezet en kan het verzoek niet verwerken.
ClusterMgmtSetupErrorIncompatible,Deze server is niet compatibel met de site.\nDe server moet worden bijgewerkt.
ClusterMgmtSetupErrorNoCompatibleSites,De server is niet compatibel met %1%. U moet wellicht deze server upgraden.
ClusterMgmtSetupErrorRequirementsUnsatisfied,Er is een fout opgetreden bij het verplaatsen van de server.
ClusterMgmtSetupErrorInvalidArgument,Er is een fout opgetreden bij het verplaatsen van de server.
ClusterMgmtSetupErrorNotPossible,Er is een fout opgetreden bij het verplaatsen van de server.
ClusterMgmtSetupErrorRemoved,Er is een fout opgetreden bij het verplaatsen van de server.
ClusterMgmtSetupErrorLicenseViolation,Deze site heeft geen rechten om dit verzoek te verwerken.
ClusterMgmtSetupErrorGeneral,Er is een fout opgetreden bij het verplaatsen van de server.
ClusterMgmtSetupErrorNoOtherSiteToJoin,Er zijn geen sites beschikbaar om deze server mee te verbinden.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,Server %1% kan niet worden toegevoegd aan site %2% tot alle servers in site %2% beschikbaar zijn. Verwijder de niet-beschikbare servers van site %2%, of maak ze beschikbaar voordat u een nieuwe server toevoegt.
ClusterMgmtSetupErrorConflictingLdapDomains,Deze server gebruikt een strijdig Active Directory-domein.
ClusterMgmtSetupCannotJoinChildToOtherServers,Server %1% is al verbonden met een bovenliggende locatie.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,Er zijn geen bovenliggende locaties beschikbaar. U kunt geen locatiefamilies aanmaken.
ClusterMgmtSiteSetupSetParentErrorGeneral,Er is een fout opgetreden tijdens een poging verbinding te maken met de bovenliggende locatie.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,Er is een fout opgetreden bij het verbreken van de verbinding met de bovenliggende locatie.
ClusterMgmtSiteSetupSetParentErrorNoRoute,Kan geen verbinding maken met de bovenliggende locatie. Wilt u handmatig verbinding maken met behulp van het IP-adres van de bovenliggende locatie?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,Gebruiker heeft geen toestemming om %1% te verbinden met %2%
ClusterMgmtSiteSetupManualConnectTitle,Verbinden met bovenliggende locatie

ClusterMgmtSetupMergingOverlayText,Server wordt verplaatst...
ClusterMgmtSetupDetachOverlayText,Server wordt verplaatst...

ClusterMgmtSetupMergingSiteOverlayText,Verbinden met bovenliggende locatie...
ClusterMgmtSetupDetachingSiteOverlayText,Verbinding met bovenliggende locatie verbreken...

ClusterSelectionFormComboLabel,Verbinden met: 
ClusterMgmtRevokeAccessLabel,Verbinding met onderliggende locatie verbreken: 

ClusterMgmtSiteFamilyInfoChildSite,Onderliggende locatie
ClusterMgmtSiteFamilyInfoParentSite,Bovenliggende locatie

ClusterNetworkSettingsConnectionSpeed,Verbindingssnelheid:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,Onbekend
ClusterNetworkSettingsRemoveCluster,Site verwijderen
ClusterNetworkSettingsAutomaticClusterLabel,Automatisch opgespoorde site
ClusterNetworkSettingsClusterUnselectedText,Selecteer een site in de lijst
ClusterNetworkSettingsEndpointsLabel,Site-eindpunten:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,Opgespoorde camera's
DisconnectedDeviceMessage,De onderstaande camera's zijn automatisch opgespoord.
DisconnectedDeviceConnectText,Verbinding maken
DisconnectedDeviceConnectMessage,Ga naar het venster Verbinding maken/verbreken met camera's
DisconnectedDeviceNoConnectText,Geen verbinding maken
DisconnectedDeviceNoConnectMessage,Verbinding met camera's verbroken laten

ShowServerConnectionFormCommandText,Verbinding maken/verbreken met camera's...


DeviceConnectionSetupTitle,Verbinding maken/verbreken met camera's
ConnectionFormFindDeviceLabel,Camera zoeken...
ConnectionFormFocusAllNvrs,Alle servers weergeven
ConnectionFormDiscoveredLabel,Opgespoorde camera's
ConnectionFormConnectedLabel,Verbonden camera's

ConnectionFormDeviceListNameTitle,Naam
ConnectionFormDeviceListIpAddressTitle,IP-adres
ConnectionFormDeviceListBrandTitle,Type
ConnectionFormDeviceListModelTitle,Model
ConnectionFormDeviceListMacAddressTitle,MAC-adres
ConnectionFormDeviceListStatusTitle,Status
ConnectionFormSearchingForDevice,Bezig met zoeken naar camera's...

ConnectionErrorFormDeviceNameTitle,Naam
ConnectionErrorFormErrorTitle,Foutmelding

ConnectionFormApiTypeLabel,Cameratype:

ConnectionFormConnectionTypeLabel,Verbindingstype: Primair
ConnectionFormConnectionTypePrimary,Secundair
ConnectionFormConnectionTypeSecondary,Tertiair
ConnectionFormConnectionTypeTertiary,Licentieprioriteit:
ConnectionFormPriorityLabel,Cameraverbinding wordt gemaakt...
ConnectionFormSupportsSecureConnection,Camerabediening:
ConnectionFormSupportsSecureConnectionSecure,Veilig
ConnectionFormSupportsSecureConnectionUnsecure,Onveilig


ConnectionFormConnecting,Cameraverbinding wordt verbroken...
ConnectionFormDisconnecting,Bezig met camera toevoegen...
ConnectionFormAdding,Bezig met camera's toevoegen...
ConnectionFormAddingMany,Bezig met camera's toevoegen...
ConnectionFormChanging,Bezig met opslaan naar camera...
ConnectionFormModifyingCredentials,Inloggen in camera...
ConnectionFormChangingCredentials,Wachtwoord wijzigen...

ConnectionFormErrorDialogCaption,Verbinding maken/verbreken met camera's
ConnectionFormAuthTitle,Cameraverificatie
ConnectionFormAuthCaption,Cameraverificatie Deze camera vereist een gebruikersnaam en wachtwoord.
ConnectionFormReAuthCaption,Voer bijgewerkte gebruikersnaam en wachtwoord in.
ConnectionFormChangeCredentialsCaption,Voer het nieuwe wachtwoord in.
ConnectionFormAuthCaptionInvalid,Gebruikersnaam of wachtwoord is onjuist.
ConnectionFormAuthUsernameLabel,Gebruikersnaam:
ConnectionFormAuthPasswordLabel,Wachtwoord:
ConnectionFormAuthReEnterPasswordLabel,Bevestig wachtwoord:
ConnectionFormAuthPasswordsDoNotMatch,Wachtwoorden niet identiek.
ConnectionFormNoSettingsToEditWarning,Geen gemeenschappelijke instellingen beschikbaar voor bewerken voor geselecteerde apparaten.

ConnectionFormChangeDeviceTitle,Verbindingsinstellingen
ConnectionFormConnectDeviceTitle,Camera verbinden

ConnectionFormChangeDeviceNvrLabel,Wijzigen op server:
ConnectionFormConnectDeviceNvrLabel,Verbinden met:

DeviceInfoPanelConnectedToTitle,Verbonden met server %1%
DeviceInfoPanelDisconnectedTitle,De verbinding met de camera is verbroken
DeviceInfoPanelDisconnectedText,Deze camera is niet met een server verbonden, de beelden ervan worden niet vastgelegd.
DeviceInfoPanelCameraIncompatibleTitle,Niet compatibel met server %1%
DeviceInfoPanelCameraIncompatibleText,Deze camera is niet compatibel met de server.
DeviceInfoPanelCameraErrorNetworkTitle,Netwerkfout op server %1%
DeviceInfoPanelCameraErrorNetworkText,Deze camera heeft mogelijk een IP-adres dat bij een netwerksegment (subnet) hoort waar geen enkele server toegang toe heeft.
DeviceInfoPanelCameraErrorNotPresentTitle,Niet aanwezig op server %1%
DeviceInfoPanelCameraErrorNotPresentText,De verbinding tussen de camera en het netwerk kan zijn verbroken, of het netwerk kan onjuist zijn geconfigureerd.
DeviceInfoPanelCameraErrorWrongEndpointTitle,Niet aanwezig op server %1%
DeviceInfoPanelCameraErrorWrongEndpointText,Er is een onverwacht apparaat verbonden op het IP-adres van deze camera.  De verbinding tussen de camera en het netwerk kan zijn verbroken, of het netwerk kan onjuist zijn geconfigureerd.
DeviceInfoPanelCameraFailedTitle,Camerafout op server %1%
DeviceInfoPanelCameraFailedText,De camera kan niet naar de server streamen.
DeviceInfoPanelCameraUpgradingTitle,De camera wordt bijgewerkt
DeviceInfoPanelCameraUpgradingText,Deze camera wordt momenteel bijgewerkt en de verbinding kan niet worden verbroken.  Het bijwerken is waarschijnlijk over een paar minuten klaar.
DeviceInfoPanelCameraErrorLicenseTitle,Licentiefout op server %1%
DeviceInfoPanelCameraErrorLicenseText,De licentie van de server staat streamen niet toe voor deze camera.
DeviceInfoPanelCameraErrorResourceInUseTitle,Niet beschikbaar op server %1%
DeviceInfoPanelCameraErrorResourceInUseText,De camera is al met een andere server verbonden.
DeviceInfoPanelCameraErrorAuthFailedTitle,Verificatie mislukt op server %1%
DeviceInfoPanelCameraErrorAuthFailedText,De gebruikersnaam of het wachtwoord die voor deze camera is gebruikt, is onjuist.
DeviceInfoPanelCameraSecondaryActiveTitle,Secundaire verbinding op server %1% (verbonden)
DeviceInfoPanelCameraSecondaryActiveFailoverText,De primaire serververbinding van de camera is verbroken.
DeviceInfoPanelCameraTertiaryActiveTitle,Tertiaire verbinding op server %1% (verbonden)
DeviceInfoPanelCameraTertiaryActiveFailoverText,De primaire en secundaire serververbinding van de camera zijn verbroken.
DeviceInfoPanelConnectTitle,Verbinding maken...
DeviceInfoPanelDisconnectTitle,Verbinding verbreken
DeviceInfoPanelChangeTitle,Bewerken...
DeviceInfoPanelNumberDevicesSelectedText,%1% apparaten geselecteerd
DeviceInfoPanelModifyCredentialsTitle,Inloggen in camera...
DeviceInfoPanelChangeCredentialsTitle,Wachtwoord wijzigen...
DeviceInfoPanelUnselectedText,Selecteer hierboven een camera


DeviceConnectionLicenseMessage,De licentie van de Control Center Server staat niet meer cameraverbindingen toe.
DeviceConnectionLicenseMessageFailover,De Control Center Server-licentie staat geen failover-verbindingen toe.
DeviceConnectionLicenseMessageHDPro,De licentie van de Control Center Server staat geen HD Pro-cameraverbindingen toe.
DeviceConnectionUpdateConnectMessage,Er is een communicatiefout opgetreden bij het verbinden van de camera.
DeviceConnectionUpdateConnectIncompatible,Deze camera is niet compatibel met de server.
DeviceConnectionUpdateConnectResourceInUse,Deze camera is al met een andere server verbonden.
DeviceConnectionUpdateConnectInsufficientResources,Deze server heeft niet voldoende geheugen beschikbaar om verbinding te maken met meer camera's.
DeviceConnectionUpdateConnectAlreadyExists,Er is al een camera op dit IP-adres met de server verbonden.\nVerbreek de verbinding tussen camera %1% en de server voordat u deze camera verbindt.
DeviceConnectionUpdateConnectAlreadyExistsNoDevice,Er is al een camera op dit IP-adres met de server verbonden.
DeviceConnectionUpdateConnectDestinationUnreachable,Er is een communicatiefout opgetreden bij het verbinden van de camera.\nDe camera heeft mogelijk een IP-adres dat bij een netwerksegment (subnet) hoort waar de server geen toegang toe heeft.
DeviceConnectionUpdateConnectAccessDenied,Verbinding met camera tot stand gebracht. Het kan zijn dat de camera niet beschikbaar is vanwege eerder ingestelde toegangsrechten. 
DeviceConnectionUpdateDisconnectMessage,Er is een communicatiefout opgetreden bij het ontkoppelen van de camera.
DeviceConnectionUpdateAddMessage,Er is een communicatiefout opgetreden bij het toevoegen van de camera.
