#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Kapat
ImageProcessorExceptionError.Player,Oynatıcı, Görüntüleri görüntülerken bir hata oluştu.\n\nVideo kartınızın Kontrol Merkezi Oynatıcısı tarafından desteklendiğinden \nve Ekranın Gelişmiş ayarlarında Donanım Hızlandırma'nın etkinleştirilmiş olduğundan emin olun.
InvalidVideoCardDontShow,Bu mesajı bir daha gösterme

#################################################
# Main Window strings
#################################################

MainWindowTitle,Avigilon Kontrol Merkezi
MainWindowTitle.Client,Avigilon Kontrol Merkezi Arayüzü
MainWindowTitle.Player,Avigilon Kontrol Merkezi Oynatıcı
MainWindowTitle.VirtualMatrix,Avigilon Kontrol Merkezi Sanal Matrisi
MainWindowTitle.AdminPanel,Avigilon Kontrol Merkezi Yönetici Aracı
MainWindowTitle.CameraInstaller,Avigilon Kamera Kurulum Aracı

MainWindowTitleWithMajorVersion,Avigilon Kontrol Merkezi %1%
MainWindowTitleWithMajorVersion.Client,Avigilon Kontrol Merkezi %1% Arayüzü
MainWindowTitleWithMajorVersion.AdminPanel,Avigilon Kontrol Merkezi %1% Yönetici Aracı

EditionName_enterprise,Enterprise Versiyon
EditionName_standard,Standard Versiyon
EditionName_core,Core Versiyon
EditionName_oem1,Standard Versiyon
EditionName_oem2,Core Versiyon

#################################################
# Client Upgrade strings
#################################################

ClientUpgradeTitle,Avigilon Control Center İstemcisini Güncelle
ClientUpgradeCaption,Avigilon Control Center İstemcisinin yeni bir sürümü %1% sunucusundan indirilmek için hazır.
ClientUpgradeCaptionYes,Güncelleştir
ClientUpgradeCaptionYesCaption,%1%.%2%.%3%.%4% sürümüne yükselt
ClientUpgradeCaptionNo,Güncelleme yapma
ClientUpgradeCaptionNoCaption,%1%.%2%.%3%.%4%'i kullanmaya devam et
ClientUpgradeDownloading,Kontrol Merkezi Arayüz Güncelleştirmesi indiriliyor...
ClientUpgradeDownloadSucceeded,Yükleme Başarılı
ClientUpgradeDownloadFailed,Yükleme Başarısız Oldu
ClientUpgradeDownloadCancelled,Yükleme İptal Edildi
ClientUpgradeInstallTitle,Avigilon Control Center İstemcisini Güncelle
ClientUpgradeInstallText,Kurulum tamamlanınca Kontrol Merkezi Arayüzü yeniden başlatılacak.
ClientUpgradeIncompatibleWarning,Kontrol Merkezi Arayüzünün yeni sürümü aşağıdaki sunuculara bağlanamayacaktır:\n\n%1%\nKontrol Merkezi Arayüzünü bir üst sürüme yükseltmeyi hala istiyor musunuz?
ClientUpgradeInsufficientPrivilegesWarning,Yükleyicinin, bu programı yüklemek için yeterli ayrıcalığı yok. Yükleme işlemine devam edilemiyor. Yönetici olarak giriş yapın veya sistem yöneticinizle iletişim kurun

#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,İstemci Verisini Yükselt
ClientDataUpgradeFormCaption,Avigilon Kontrol Merkezi 4'ten yerel istemci yapılandırma verisi bulundu. Bunun içinde kaydedilmiş görünümler, haritalar, web sayfaları ve site görünümleri olabilir. Kullanılabilmesi için bu verinin bir siteye eklenmesi gerekir.
ClientDataUpgradeButtonUpgrade,Yükselt
ClientDataUpgradeButtonUpgradeText,Yerel istemci verisini yükselt ve bir Avigilon Kontrol Merkezi 5 sitesine ekle 
ClientDataUpgradeButtonArchive,Yükseltme yapma
ClientDataUpgradeButtonArchiveText,Avigilon Kontrol Merkezi 4 verilerini yükseltmeyin
ClientDataUpgradeButtonLater,İptal et
ClientDataUpgradeButtonLaterText,Avigilon Kontrol Merkezi 4 verisini saklayın ve ne yapacağınıza sonraki oturumda karar verin

ClientDataUpgradeSiteSelectionFormCaption,Yerel istemci verisini nereye ekleyeceğinizi seçin:
ClientDataUpgradeSiteSelectionFormSelectAll,Tümünü Seç/Seçimi Kaldır
ClientDataUpgradeSiteSelectionFormButtonUpgrade,Yükselt
ClientDataUpgradeSiteSelectionFormButtonCancel,İptal et

ClientDataUpgradeSuccess,Yükseltme başarılı
ClientDataUpgradeTransportError,Site ile iletişim sırasında bir hata oluştu
ClientDataUpgradeAccessDenied,Kullanıcının istemci verisini siteye eklemek için izni yok
ClientDataUpgradeInternalError,İstemci verisini yükseltirken dahili bir hata oluştu
ClientDataUpgradeResultFormButtonRetry,Tekrar deneyin


#################################################
# Log In strings
#################################################

LoginTitle,Siteye Giriş
LoginMultiServerLabel,Oturum Aç:
LoginAllComboItem,Bütün Siteler
LoginUserLabel,Kullanıcı Adı:
LoginPasswordLabel,Parola:
LoginCurrentCredentials,Mevcut Windows kullanıcı adı ve şifresini kullan
LoginNoServerButtonText,Siteyi Bul...
LoginButtonLabel,Oturum Aç
LoginErrorMessage,Site %1% üzerindeki kullanıcı adı veya parola yanlış.
LoginMaxClientsMessage,%1% sitesi için eş zamanlı maksimum istemci bağlantı sayısına ulaşıldı.
LoginLanguageLabel,Dil
LoginFailedValidateOsCreds,%1% sitesi İstemcinin oturum açmış kullanıcısını doğrulayamıyor.
LoginNoServerMessage,Oturum açmak için mevcut site yok.
LoginServerLabel,%1%'da oturum aç
LoginOsUserDisabledMessage,Bu kullanıcı %1% sitesinde kullanıma kapatılmıştır.
LoginUserDisabledMessage,Kullanıcı '%1%' %2% sitesinde kullanıma kapatılmıştır.
LoginUserNotFound,Site %1% üzerindeki kullanıcı adı veya parola yanlış.
LoginUnknownErrorMessage,Site %1%'a/e oturum açmayı denerken bir iletişim hatası oluştu.
LoginInternalErrorMessage,%1% sitesinde oturum açmayı denerken dahili bir hata oluştu.
LoginSslErrorMessage,Site %1%'a/e oturum açmayı denerken bir iletişim hatası oluştu.\nİstemci SSL sertifikası geçersiz olabilir.
LoginServerClassConflict,Sitelerin farklı lisans sürümleri var. \nHer iki siteye aynı anda oturum açamazsınız.
LoginServerVendorIdConflict,Farklı satıcıların sitelerine aynı anda oturum açamazsınız.
LoginServerMaxServersConflict,Bu istemci için eş zamanlı bağlantı maksimum sayısına ulaşılmış.
LoginLicenseViolation,Site %1% üzerindeki lisans sürümü bu uygulamadan oturum açmaya izin vermiyor.
LoginAlreadyAuthenticatedMessage,Site %1%'e/a en son bağlandığında Kontrol Merkezi Arayüzü beklenmedik şekilde kapandı.\nTekrar oturum açmadan önce lütfen bir dakika bekleyin.
LoginWaitText,Oturum Açılıyor...
LogInCommandText,Oturum Aç...
LogInCommandToolTip,Sitelerde oturum aç
SystemExplorerLogIn,Oturum Aç...

PasswordEmptyErrorText,Bir parola verilmelidir.
PasswordExpiredMessage,%1% üzerindeki parolanızın süresi sona ermiş.  Lütfen yeni bir parola girin.
PasswordExpiredSameMessage,Eski bir parola tekrar kullanılamaz.  Lütfen yeni bir parola girin.
PasswordMismatchErrorText,Parolalar eşleşmiyor.  Lütfen tekrar deneyin.
PasswordEmptyWarning,Şifre boş. Devam edilsin mi?

ForcedLogoutFormDescription,İstemci bağlantısının maksimum sayısına ulaşılmış. Oturum açabilmeniz için ayıracağınız bir kullanıcı seçin:
ForcedLogoutFormUserNameColumn,Kullanıcı Adı
ForcedLogoutFormComputerNameColumn,Bilgisayar Adı
ForcedLogoutFormLoginTime,Oturum Açma Süresi
ForcedLogoutFormNoSectionError,Bir kullanıcı seçilmelidir.
ForcedLogoutNotification,%1%'den '%2%' ile oturumu kapattınız
ForcedLogoutAccessDenied,'%1%' adlı kullanıcının '%2%' sitesinden çıkışı yapılamıyor
ForcedLogoutFailure,'%1%' adlı kullanıcının '%2%' sitesinden çıkışı yapılırken hata oluştu

LoginNotifyNewConnections,Başka siteler kullanılabilir olduğunda beni bilgilendir
LoginShowPanelOnStartup,Bu sekmeyi başlangıçta göster
LoginSaveSettingsButtonText,Ayarları Kaydet
LoginSaveSettingsPrompt,Giriş ayarlarında yapılan değişiklikler kaydedilsin mi?
LoginButtonLabelConnect,Giriş
LoginSettingsSavedText,Siteye giriş ayarları kaydedildi
LoginPageTitle,Siteye Giriş
LoginTooltipSiteUnavailable,Site kullanılamıyor
LoginTooltipSiteConnected,Siteye bağlanıldı
LoginTooltipSiteAvailable,Site kullanılabilir
LoginSearchTextHint,Ara…
LoginTooltipSiteConnecting,Siteye bağlanılıyor…
LoginSelectLoginServerTitle,Sunucu seçin
LoginSelectSiteHint,Giriş yapmak için bir veya daha fazla site seçin.
LoginNoAvailableSitesHint,Şu anda kullanılabilir site yok.

#################################################
# Log Out strings
#################################################

LogOutCommandText,Oturumu Kapat
LogOutCommandToolTip,Oturumu Kapat
LogOutPromptCaption,Oturumu Kapat
LogOutPromptText,Tüm sitelerdeki oturumlar kapatılsın mı?
LogOutSinglePromptText,%1%'deki oturum kapatılsın mı?
SystemExplorerLogOut,Oturumu Kapat

#################################################
# Virtual Matrix strings
#################################################

CurrentMonitorName,Monitör Adı
CurrentMonitorLogicalId,Monitör Lojik Kimliği
UpdateMonitorButton,Güncelleştir
CreateNewMonitor,Monitör ekle
CloseThisMonitor,Monitörü Kaldır
CloseThisMonitorQueryText,Bu monitörü siteden kaldırmak istediğinizden emin misiniz?
ExitApplication,Uygulamadan Çık
LogicalIdNotAvailable,Lojik kimlik %1% zaten kullanımda veya başka bir kaydedilmiş görünüm veya monitör tarafından kullanılmakta.
IllegalLogicalId,%1% değeri geçerli bir lojik kimliği değeri değildir.
LogicalIdNotSet,Ayarlanmamış
LogToAnotherCluster,Siteyi Değiştir
MonitorSettings,Monitör Ayarları
CurrentCluster,Mevcut Site
PrimaryCluster,Birincil Site
AdditionalClusters,Ek Siteler
SiteInfo,Site Bilgileri
HelpLink,Yardım
NoOtherClustersToLoginTo,Oturum açılacak başka site yoktur.
VerifyClusterLogout,Mevcut sitedeki oturumu kapatacaksınız. Devam edilsin mi?
NotLoggedToAnyCluster,Şu anda hiçbir sitede oturum açmış değilsiniz.
VMASiteSettingsClusterStatusConnected,Bağlandı
VMASiteSettingsClusterStatusUnavailable,Kullanılamıyor
VMASiteSettingsClusterStatusAuthenticationFailed,Giriş Başarısız Oldu
VMASiteSettingsSiteListSiteHeader,Siteler
VMASiteSettingsSiteListStatusHeader,Durum
VMASiteSettingsAddSiteCommand,Site Ekle
VMASiteSettingsRemoveSiteCommand,Site Kaldır

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,Siteyi Bul
ServerMgmtAddText,Siteyi Bul...
ServerMgmtForgetClusterText,Siteyi Unut
ServerMgmtIpAddressLabel,IP Adresi/Ana Bilgisayar:
ServerMgmtPortLabel,Temel Port:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,Verilen IP adresi geçersiz.
ServerAddErrorAlreadyExists,Verilen IP adresindeki site sisteme daha önce eklenmiş.
ServerForgetGeneralError,Siteyi kaldırmaya çalışırken bir hata oluştu.
ServerAddError,Site bulunamıyor.
ServerMgmtSearchingLabel,Arıyor...
ServerMgmtForgetClusterError,Siteyi unutmada hata.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,Boş Oturum Kapat
IdleTimeoutMessage,Belirtilen süreden sonra hiçbir aktivite olmazsa aşağıda belirtilen site(ler)de oturumunuz kapatılacaktır.
IdleTimeoutSecondsLeft,%1% saniye


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon Rialto
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,Genel RTSP
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,Yerel Dijital G/Ç

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,Siteyi Yönet
ClusterMgmtSetupPageTitle,Site Yönetimi
ClusterMgmtSetupPageNameHeader,İsim
ClusterMgmtSetupPageNameIpAddress,IP Adresi
ClusterMgmtSetupPageNameVersion,Sürüm
ClusterMgmtSetupPageNameStatus,Durum

ClusterMgmtSetupPageStatusReady,Hazır
ClusterMgmtSetupPageStatusUpgrading,Yükseltiliyor...
ClusterMgmtSetupPageStatusJoining,Katılıyor...
ClusterMgmtSetupPageStatusHandlingJoin,Meşgul...
ClusterMgmtSetupPageStatusErrorError,Hata
ClusterMgmtSetupPageStatusErrorNotPresent,Mevcut Değil
ClusterMgmtSetupPageStatusErrorIncompatible,Uyumsuz
ClusterMgmtSetupPageStatusErrorLicenseViolation,Lisans İhlali
ClusterMgmtSetupPageStatusErrorTimedOut,Süre Aşıldı
ClusterMgmtSetupPageStatusErrorFailed,Başarısız oldu
ClusterMgmtSetupPageStatusErrorNetworkError,Ağ Hatası
ClusterMgmtSetupPageStatusErrorJoinError,Katılma İhlali
ClusterMgmtSetupPageStatusErrorAccessDenied,Kullanıcının %1% ve %2% sunucularını birleştirme izni yok

ClusterMgmtSetupPageSelectedServerStatus,Durum:
ClusterMgmtSetupPageSelectedServerVersion,Sürüm:
ClusterMgmtSetupPageSelectedServerAddress,IP Adresi:
ClusterMgmtSetupPageDetachServer,Bağlantıyı kes...
ClusterMgmtSetupPageMoveServer,Bağlan...

ClusterMgmtSetupPageSetParent,Üst Siteye Bağlan...
ClusterMgmtSetupPageRemoveParent,Üst Site Bağlantısını Kes...
ClusterMgmtSetupPageRemoveChild,Alt Site Bağlantısını Kes...
ClusterMgmtSetupPageParentSiteNameNone,Yok

ClusterMgmtSetupServerIncompatibleMerge,Uyumsuz olmaları nedeniyle %1% sitesi %2% ile birleştirilemiyor.
ClusterMgmtSetupServerMergeWarning,%1%'i %2%'ye eklemek tüm konfigürasyon verilerini birleştirir. Tüm kayıtlı videolar saklanacak. Devam etmek istediğinizden emin misiniz?
ClusterMgmtSetupServerDetachWarning,%2%'dan/den %1%'ı/i kaldırmak istediğinizden emin misiniz?
ClusterMgmtSiteSetupConfirmSetParent,%1% sitesini %2% sitesine bağlamak, kullanıcı yönetimi verilerinin senkronizasyonunu etkinleştirecektir. Devam edilsin mi?
ClusterMgmtSiteSetupConfirmRemoveParent,%1% sitesi ile %2% sitesi arasındaki bağlantıyı kesmek, kullanıcı yönetimi verilerinin senkronizasyonunu durduracaktır. Devam edilsin mi?
ClusterMgmtSetupCannotSetParent,%1% sitesi %2% sitesine bağlanamıyor.
ClusterMgmtSetupCannotJoinParent,%1% sitesinde alt site var. Katılınan sunucu %2% alt siteleri desteklemez.
ClusterMgmtSetupCannotLeaveParent,%1% sitesinde alt site var. Son sunucu %2% siteden ayrılamaz.
ClusterMgmtSetupCannotJoinClusterMaxSize,Site üyesi %1%, bir sitede en çok %2% sunucuyu destekler.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,Site üyesi %1%, bir sitede en çok %2% cihazı destekler.
ClusterMgmtSetupCannotJoinServerSizeLimit,%1% sunucusu, %2% sunucu veya %3% cihazdan fazlasına sahip sitelere katılamaz.
ClusterMgmtSiteSetupConfirmRevokeAccess,%1% sitesi ile %2% sitesi arasındaki bağlantıyı kesmek verilerin senkronizasyonunu devre dışı bırakacaktır. Devam edilsin mi?
ClusterMgmtSiteSetupErrorCannotLeaveParent,Ana site bağlantısı kesilemiyor.
ClusterMgmtSetupCannotSetParentToItself,%1% sitesi kendisine bağlanamaz.

ClusterMgmtSetupErrorNotInitialized,Sunucu şu an başlatılıyor ve yeri değiştirilemez.
ClusterMgmtSetupErrorInProgress,Site şu anda meşgul ve talebi işleyemez.
ClusterMgmtSetupErrorIncompatible,Bu sunucu siteyle uyumlu değil.\nSunucunun yükseltilmesi gerekli.
ClusterMgmtSetupErrorNoCompatibleSites,Sunucu %1% ile uyumlu değil. Bu sunucuyu yükseltmeniz gerekebilir.
ClusterMgmtSetupErrorRequirementsUnsatisfied,Sunucunun yerini değiştirmeye çalışırken bir hata oluştu.
ClusterMgmtSetupErrorInvalidArgument,Sunucunun yerini değiştirmeye çalışırken bir hata oluştu.
ClusterMgmtSetupErrorNotPossible,Sunucunun yerini değiştirmeye çalışırken bir hata oluştu.
ClusterMgmtSetupErrorRemoved,Sunucunun yerini değiştirmeye çalışırken bir hata oluştu.
ClusterMgmtSetupErrorLicenseViolation,Sitenin bu talebi işlemeye lisansı yok.
ClusterMgmtSetupErrorGeneral,Sunucunun yerini değiştirmeye çalışırken bir hata oluştu.
ClusterMgmtSetupErrorNoOtherSiteToJoin,Bu sunucuya bağlanacak hiçbir site bulunmamaktadır.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,Site %2%'daki/deki tüm sunucular müsait olana dek sunucu %1% site %2%'ya/ye eklenemez. Yeni bir sunucu eklemeden önce site %2%'daki/deki müsait olmayan sunucuları kaldırın veya sorunları çözün.
ClusterMgmtSetupErrorConflictingLdapDomains,Bu sunucu çakışan bir Active Directory etki alanı kullanıyor.
ClusterMgmtSetupCannotJoinChildToOtherServers,%1% sunucusu bir üst siteye zaten bağlı.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,Kullanılabilir üst site yok. Site ailesi oluşturamazsınız.
ClusterMgmtSiteSetupSetParentErrorGeneral,Bir üst siteye bağlanmaya çalışılırken hata oluştu.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,Bir üst sitenin bağlantısı kesilmeye çalışılırken hata oluştu.
ClusterMgmtSiteSetupSetParentErrorNoRoute,Üst siteye bağlanılamıyor. Üst sitenin IP adresini kullanarak elle bağlanmak ister misiniz?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,Kullanıcının %1% sunucusunu %2% sunucusuna bağlama izni yok
ClusterMgmtSiteSetupManualConnectTitle,Üst Siteye Bağlan

ClusterMgmtSetupMergingOverlayText,Sunucunun yeri değişiyor...
ClusterMgmtSetupDetachOverlayText,Sunucunun yeri değişiyor...

ClusterMgmtSetupMergingSiteOverlayText,Üst siteye bağlanılıyor...
ClusterMgmtSetupDetachingSiteOverlayText,Üst sitenin bağlantısı kesiliyor...

ClusterSelectionFormComboLabel,Şuraya Bağlan: 
ClusterMgmtRevokeAccessLabel,Alt sitenin bağlantısını kes: 

ClusterMgmtSiteFamilyInfoChildSite,Alt Site
ClusterMgmtSiteFamilyInfoParentSite,Üst Site

ClusterNetworkSettingsConnectionSpeed,Bağlantı Hızı:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,Bilinmiyor
ClusterNetworkSettingsRemoveCluster,Siteyi Kaldır
ClusterNetworkSettingsAutomaticClusterLabel,Otomatik olarak keşfedilen site
ClusterNetworkSettingsClusterUnselectedText,Listeden bir site seçin
ClusterNetworkSettingsEndpointsLabel,Site Son Noktaları:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,Keşfedilen Kameralar
DisconnectedDeviceMessage,Aşağıdaki kameralar otomatik olarak keşfedildi.
DisconnectedDeviceConnectText,Bağlan
DisconnectedDeviceConnectMessage,'Kameralara Bağlan/Bağlantıyı Kes' penceresine gidin
DisconnectedDeviceNoConnectText,Bağlantı kurma
DisconnectedDeviceNoConnectMessage,Kameraları bağlantı kesilmiş olarak bırak

ShowServerConnectionFormCommandText,Kameraları Bağla/Bağlantıyı Kes...


DeviceConnectionSetupTitle,Kameraları Bağla/Bağlantıyı Kes
ConnectionFormFindDeviceLabel,Kamera Bul...
ConnectionFormFocusAllNvrs,Tüm Sunucuları Göster
ConnectionFormDiscoveredLabel,Keşfedilen Kameralar
ConnectionFormConnectedLabel,Bağlı Kameralar

ConnectionFormDeviceListNameTitle,İsim
ConnectionFormDeviceListIpAddressTitle,IP Adresi
ConnectionFormDeviceListBrandTitle,Tür
ConnectionFormDeviceListModelTitle,Model
ConnectionFormDeviceListMacAddressTitle,MAC Adresi
ConnectionFormDeviceListStatusTitle,Durum
ConnectionFormSearchingForDevice,Kameralar aranıyor...

ConnectionErrorFormDeviceNameTitle,Ad
ConnectionErrorFormErrorTitle,Hata Mesajı

ConnectionFormApiTypeLabel,Kamera Tipi:

ConnectionFormConnectionTypeLabel,Bağlantı Tipi:
ConnectionFormConnectionTypePrimary,Birinci
ConnectionFormConnectionTypeSecondary,İkinci
ConnectionFormConnectionTypeTertiary,Üçüncü
ConnectionFormPriorityLabel,Lisans Önceliği:
ConnectionFormSupportsSecureConnection,Kamera Kontrolü:
ConnectionFormSupportsSecureConnectionSecure,Güvenli
ConnectionFormSupportsSecureConnectionUnsecure,Güvenli Değil


ConnectionFormConnecting,Kamera bağlanıyor...
ConnectionFormDisconnecting,Kamera bağlantısı kesiliyor...
ConnectionFormAdding,Kamera ekleniyor...
ConnectionFormAddingMany,Kameralar ekleniyor...
ConnectionFormChanging,Kameraya kaydediliyor...
ConnectionFormModifyingCredentials,Kameraya giriş yapılıyor...
ConnectionFormChangingCredentials,Şifre değiştiriliyor...

ConnectionFormErrorDialogCaption,Kameraları Bağla/Bağlantıyı Kes
ConnectionFormAuthTitle,Kamera Doğrulama
ConnectionFormAuthCaption,Bu kameraya bir kullanıcı adı ve parola gerektiriyor.
ConnectionFormReAuthCaption,Güncellenmiş kullanıcı adını ve şifreyi girin.
ConnectionFormChangeCredentialsCaption,Yeni şifreyi girin.
ConnectionFormAuthCaptionInvalid,Kullanıcı adı veya parola hatalı.
ConnectionFormAuthUsernameLabel,Kullanıcı Adı:
ConnectionFormAuthPasswordLabel,Parola:
ConnectionFormAuthReEnterPasswordLabel,Şifreyi Onaylayın:
ConnectionFormAuthPasswordsDoNotMatch,Şifreler eşleşmiyor.
ConnectionFormNoSettingsToEditWarning,Seçili cihazlar için düzenlenebilecek ortak ayar yok.

ConnectionFormChangeDeviceTitle,Bağlantı Ayarları
ConnectionFormConnectDeviceTitle,Kamera Bağlantısını Yap

ConnectionFormChangeDeviceNvrLabel,Sunucuda değişiklik:
ConnectionFormConnectDeviceNvrLabel,Bağlan:

DeviceInfoPanelConnectedToTitle,%1% sunucusuna bağlanıldı
DeviceInfoPanelDisconnectedTitle,Kamera Bağlantısı Kesildi
DeviceInfoPanelDisconnectedText,Bu kamera bir sunucuya bağlı değildir, görüntüleri kaydedilmemektedir.
DeviceInfoPanelCameraIncompatibleTitle,Sunucu %1%'da/de uyumsuz
DeviceInfoPanelCameraIncompatibleText,Bu kamera sunucuyla uyumlu değil.
DeviceInfoPanelCameraErrorNetworkTitle,Sunucu %1%'da/de ağ hatası
DeviceInfoPanelCameraErrorNetworkText,Bu kameranın hiçbir sunucu tarafından erişilemeyen bir ağ segmentine (alt ağ) ait bir IP adresi olabilir.
DeviceInfoPanelCameraErrorNotPresentTitle,Sunucu %1%'da/de mevcut değil
DeviceInfoPanelCameraErrorNotPresentText,Kamera ağdan ayrılmış olabilir veya ağ hatalı yapılandırılmış olabilir.
DeviceInfoPanelCameraErrorWrongEndpointTitle,Sunucu %1%'da/de mevcut değil
DeviceInfoPanelCameraErrorWrongEndpointText,Bu kameranın IP adresine beklenmedik bir cihaz bağlandı.  Kamera ağdan ayrılmış olabilir veya ağ hatalı yapılandırılmış olabilir.
DeviceInfoPanelCameraFailedTitle,Sunucu %1%'da/de Kamera Hatası
DeviceInfoPanelCameraFailedText,Kamera sunucuya akış gönderemiyor.
DeviceInfoPanelCameraUpgradingTitle,Kamera yükseltiliyor
DeviceInfoPanelCameraUpgradingText,Bu kamera şu anda yükseltiliyor, bağlantısı kesilemez.  Yükseltme birkaç dakika içinde tamamlanacaktır.
DeviceInfoPanelCameraErrorLicenseTitle,Sunucu %1%'da/de lisans hatası
DeviceInfoPanelCameraErrorLicenseText,Sunucu lisansı bu kameranın veri akışına izin vermiyor.
DeviceInfoPanelCameraErrorResourceInUseTitle,Sunucu %1%'da/de mevcut değil
DeviceInfoPanelCameraErrorResourceInUseText,Kamera zaten başka bir sunucuya bağlı.
DeviceInfoPanelCameraErrorAuthFailedTitle,Sunucu %1%'da/de kimlik doğrulaması başarısız oldu
DeviceInfoPanelCameraErrorAuthFailedText,Bu kamera için kullanılan kullanıcı adı veya parolası yanlış.
DeviceInfoPanelCameraSecondaryActiveTitle,Sunucu %1%'da/de İkincil Bağlantı (Bağlı)
DeviceInfoPanelCameraSecondaryActiveFailoverText,Kameranın birincil sunucu bağlantısı başarısız oldu.
DeviceInfoPanelCameraTertiaryActiveTitle,Sunucu %1%'da/de Üçüncül Bağlantı (Bağlı)
DeviceInfoPanelCameraTertiaryActiveFailoverText,Kameranın birincil ve ikincil sunucu bağlantıları başarısız oldu.
DeviceInfoPanelConnectTitle,Bağlan...
DeviceInfoPanelDisconnectTitle,Bağlantıyı kes
DeviceInfoPanelChangeTitle,Düzenle...
DeviceInfoPanelNumberDevicesSelectedText,%1% cihaz seçildi
DeviceInfoPanelModifyCredentialsTitle,Kameraya Giriş Yap...
DeviceInfoPanelChangeCredentialsTitle,Şifreyi Değiştir...
DeviceInfoPanelUnselectedText,Yukarıdan bir kamera seçiniz


DeviceConnectionLicenseMessage,Control Center Server lisansı başka kamera bağlantısına izin vermiyor.
