#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Luk
LogOutPromptText,Log ud fra alle servere?
LogOutSinglePromptText,Log ud fra %1%?
SystemExplorerLogOut,Log ud

#################################################
# Virtual Matrix strings
#################################################

CurrentMonitorName,Monitornavn
CurrentMonitorLogicalId,Monitors logiske ID
UpdateMonitorButton,Opdatering
CreateNewMonitor,Tilføj monitor
CloseThisMonitor,CloseThisMonitor=Fjern monitor
CloseThisMonitorQueryText,Er du sikker på, at du vil fjerne denne monitor fra sitet?
ExitApplication,Afslut program
LogicalIdNotAvailable,Det logiske ID %1% er allerede i brug af en anden gemt visning eller monitor.
IllegalLogicalId,Værdien %1% er ikke en gyldig værdi for logisk ID.
LogicalIdNotSet,Ikke indstillet
LogToAnotherCluster,Skift site/bruger
MonitorSettings,Monitorindstillinger
CurrentCluster,Aktuelt site
PrimaryCluster,Primært site
AdditionalClusters,Yderligere sites
SiteInfo,Siteoplysninger
HelpLink,Hjælp
NoOtherClustersToLoginTo,Der er ikke andre sites, der kan logges in på.
VerifyClusterLogout,Du bliver logge af det aktuelle site. Fortsæt?
NotLoggedToAnyCluster,Du er aktuelt ikke logget ind på noget site.
VMASiteSettingsClusterStatusConnected,Forbundet
VMASiteSettingsClusterStatusUnavailable,Utilgængelig
VMASiteSettingsClusterStatusAuthenticationFailed,Login mislykkedes
VMASiteSettingsSiteListSiteHeader,Sites
VMASiteSettingsSiteListStatusHeader,Status
VMASiteSettingsAddSiteCommand,Tilføj site
VMASiteSettingsRemoveSiteCommand,Fjern site

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,Find site
ServerMgmtAddText,Find site...
ServerMgmtForgetClusterText,Glem Cluster
ServerMgmtIpAddressLabel,IP-adresse/Værtsnavn:
ServerMgmtPortLabel,Basisport:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,Den oplyste IP-adresse er ugyldig.
ServerAddErrorAlreadyExists,Sitet på den oplyste IP-adresse er allerede blevet føjet til systemet.
ServerForgetGeneralError,Der opstod en fejl under forsøg på at fjerne sitet.
ServerAddError,Sitet blev ikke fundet.
ServerMgmtSearchingLabel,Søger...
ServerMgmtForgetClusterError,Fejl under 'husk ikke site'.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,Logud pga. inaktivitet
IdleTimeoutMessage,Du bliver logget ud fra sitet(-ene), der vises herunder, hvis der ikke er nogen aktivitet inden for det angivne tidsrum.
IdleTimeoutSecondsLeft,%1% sekunder


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon Rialto
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,Generisk RTSP
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,Lokalt digitalt I/O

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,Administrer site
ClusterMgmtSetupPageTitle,Siteadministration
ClusterMgmtSetupPageNameHeader,Navn
ClusterMgmtSetupPageNameIpAddress,IP-adresse
ClusterMgmtSetupPageNameVersion,Version
ClusterMgmtSetupPageNameStatus,Status

ClusterMgmtSetupPageStatusReady,Klar
ClusterMgmtSetupPageStatusUpgrading,Opgraderer...
ClusterMgmtSetupPageStatusJoining,Sammenføjer...
ClusterMgmtSetupPageStatusHandlingJoin,Optaget...
ClusterMgmtSetupPageStatusErrorError,Fejl
ClusterMgmtSetupPageStatusErrorNotPresent,Ikke til stede
ClusterMgmtSetupPageStatusErrorIncompatible,Ikke kompatibel
ClusterMgmtSetupPageStatusErrorLicenseViolation,Overskridelse af licens
ClusterMgmtSetupPageStatusErrorTimedOut,Fået timeout
ClusterMgmtSetupPageStatusErrorFailed,Mislykket
ClusterMgmtSetupPageStatusErrorNetworkError,Netværksfejl
ClusterMgmtSetupPageStatusErrorJoinError,Brud på samling
ClusterMgmtSetupPageStatusErrorAccessDenied,Brugeren har ikke tillladelse til at flette %1% og %2%

ClusterMgmtSetupPageSelectedServerStatus,Status:
ClusterMgmtSetupPageSelectedServerVersion,Version:
ClusterMgmtSetupPageSelectedServerAddress,IP-adresse:
ClusterMgmtSetupPageDetachServer,Afbryd...
ClusterMgmtSetupPageMoveServer,Tilslut...

ClusterMgmtSetupPageSetParent,Opret forbindelse til overordnet site...
ClusterMgmtSetupPageRemoveParent,Afbryd forbindelse til overordnet site...
ClusterMgmtSetupPageRemoveChild,Afbryd forbindelse til underordnet site...
ClusterMgmtSetupPageParentSiteNameNone,Intet

ClusterMgmtSetupServerIncompatibleMerge,Kan ikke sammenflette %1% med sitet %2%, da de ikke er kompatible.
ClusterMgmtSetupServerMergeWarning,Hvis %1% føjes til %2% bliver alle konfigurationsdata sammenflettet. Alle optagede videoer bliver bevaret. Er du sikker på, at du vil fortsætte?
ClusterMgmtSetupServerDetachWarning,Er du sikker på, at du vil fjerne %1% fra %2%?
ClusterMgmtSiteSetupConfirmSetParent,Oprettelse af forbindelse mellem %1% og %2% vil muliggøre synkronisering af brugeradministrationsdata. Fortsæt?
ClusterMgmtSiteSetupConfirmRemoveParent,Afbrydelse af forbindelsen mellem %1% og %2% vil standse synkronisering af brugeradministrationsdata. Fortsæt?
ClusterMgmtSetupCannotSetParent,Der kan ikke oprettes forbindelse mellem %1% og %2%.
ClusterMgmtSetupCannotJoinParent,Sitet %1% har et underordnet site. Den tilnyttede server %2% understøtter ikke underordnede sites.
ClusterMgmtSetupCannotLeaveParent,Sitet %1% har et underordnet site. Den seneste server %2% kan ikke forlade sitet.
ClusterMgmtSetupCannotJoinClusterMaxSize,Sitemedlemmet %1% understøtter ikke mere end %2% servere på et site.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,Sitemedlemmet %1% understøtter ikke mere end %2% enheder på et site.
ClusterMgmtSetupCannotJoinServerSizeLimit,Serveren %1% kan ikke forbinde sites med mere end %2% servere eller %3% enheder.
ClusterMgmtSiteSetupConfirmRevokeAccess,Afbrydelse af forbindelsen mellem %1% og %2% vil deaktivere datasynkronisering. Fortsæt?
ClusterMgmtSiteSetupErrorCannotLeaveParent,Forbindelsen til et overordnet site kunne ikke afbrydes.
ClusterMgmtSetupCannotSetParentToItself,%1% kan ikke forbindes med sig selv.

ClusterMgmtSetupErrorNotInitialized,Serveren initialiserer i øjeblikket og kan ikke flyttes.
ClusterMgmtSetupErrorInProgress,Sitet er optaget i øjeblikket og kan ikke behandle anmodningen.
ClusterMgmtSetupErrorIncompatible,Serveren er ikke kompatibel med sitet.\nServeren skal opgraderes.
ClusterMgmtSetupErrorNoCompatibleSites,Serveren er ikke kompatibel med  %1%. Du bliver måske nødt til at opgradere denne server.
ClusterMgmtSetupErrorRequirementsUnsatisfied,Der opstod en fejl under forsøg på at fjerne serveren.
ClusterMgmtSetupErrorInvalidArgument,Der opstod en fejl under forsøg på at fjerne serveren.
ClusterMgmtSetupErrorNotPossible,Der opstod en fejl under forsøg på at fjerne serveren.
ClusterMgmtSetupErrorRemoved,Der opstod en fejl under forsøg på at fjerne serveren.
ClusterMgmtSetupErrorLicenseViolation,Sitet har ikke licens til at behandle denne anmodning.
ClusterMgmtSetupErrorGeneral,Der opstod en fejl under forsøg på at fjerne serveren.
ClusterMgmtSetupErrorNoOtherSiteToJoin,Der er ingen sites tilgængelige til at forbinde denne server til.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,Server %1% kan ikke føjes til site %2%, før alle servere på site %2% bliver tilgængelige. Fjern eller løs problemer på utilgængelige servere fra site %2%, før der tilføjes en server.
ClusterMgmtSetupErrorConflictingLdapDomains,Denne server bruger et Active Directory-domæne, der er i konflikt.
ClusterMgmtSetupCannotJoinChildToOtherServers,Der er allerede oprettet forbindelse mellem serveren %1% og et overordnet site.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,Der er ingen tilgængelige overordnede sites. Du kan ikke oprette en siteserie.
ClusterMgmtSiteSetupSetParentErrorGeneral,Der opstod en fejl under forsøget på at oprette forbindelse til et overordnet site.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,Der opstod en fejl under forsøget på at afbryde forbindelsen til et overordnet site.
ClusterMgmtSiteSetupSetParentErrorNoRoute,Der kunne ikke oprettes forbindelse til et overordnet site. Vil du oprette forbindelse manuelt ved hjælp af IP-adressen til det overordnede site?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,Brugeren har ikke tilladelse til at oprette forbindelse mellem %1% og %2%
ClusterMgmtSiteSetupManualConnectTitle,Opret forbindelse til et overordnet site

ClusterMgmtSetupMergingOverlayText,Flytter server...
ClusterMgmtSetupDetachOverlayText,Flytter server...

ClusterMgmtSetupMergingSiteOverlayText,Opretter forbindelse til det overordnede site...
ClusterMgmtSetupDetachingSiteOverlayText,Afbryder forbindelsen til det overordnede site...

ClusterSelectionFormComboLabel,Opret forbindelse til: 
ClusterMgmtRevokeAccessLabel,Afbryd forbindelsen til det underordnede site: 

ClusterMgmtSiteFamilyInfoChildSite,Underordnet site
ClusterMgmtSiteFamilyInfoParentSite,Overordnet site

ClusterNetworkSettingsConnectionSpeed,Forbindelseshastighed:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,Ukendt
ClusterNetworkSettingsRemoveCluster,Fjern site
ClusterNetworkSettingsAutomaticClusterLabel,Automatisk opdaget site
ClusterNetworkSettingsClusterUnselectedText,Vælg et site fra listen
ClusterNetworkSettingsEndpointsLabel,Site slutpunkter:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,Opdagede kameraer
DisconnectedDeviceMessage,Kameraerne herunder er blevet automatisk opdaget.
DisconnectedDeviceConnectText,Tilslut
DisconnectedDeviceConnectMessage,Gå til vinduet 'Tilslut/afbryd kameraer'
DisconnectedDeviceNoConnectText,Tilslut ikke
DisconnectedDeviceNoConnectMessage,Lad kameraerne være afbrudte

ShowServerConnectionFormCommandText,Tilslut/afbryd kameraer...


DeviceConnectionSetupTitle,Tilslut/afbryd kameraer
ConnectionFormFindDeviceLabel,Find kamera...
ConnectionFormFocusAllNvrs,Vis alle servere
ConnectionFormDiscoveredLabel,Opdagede kameraer
ConnectionFormConnectedLabel,Tilsluttede kameraer

ConnectionFormDeviceListNameTitle,Navn
ConnectionFormDeviceListIpAddressTitle,IP-adresse
ConnectionFormDeviceListBrandTitle,Type
ConnectionFormDeviceListModelTitle,Model
ConnectionFormDeviceListMacAddressTitle,MAC-adresse
ConnectionFormDeviceListStatusTitle,Status
ConnectionFormSearchingForDevice,Søger efter kameraer...

ConnectionErrorFormDeviceNameTitle,Navn
ConnectionErrorFormErrorTitle,Fejlmeddelelse

ConnectionFormApiTypeLabel,Kameratype:

ConnectionFormConnectionTypeLabel,Tilslutningstype:
ConnectionFormConnectionTypePrimary,Primær
ConnectionFormConnectionTypeSecondary,Sekundær
ConnectionFormConnectionTypeTertiary,Tertiær
ConnectionFormPriorityLabel,Licensprioritet:
ConnectionFormSupportsSecureConnection,Kamerakontrol:
ConnectionFormSupportsSecureConnectionSecure,Sikker
ConnectionFormSupportsSecureConnectionUnsecure,Usikker


ConnectionFormConnecting,Tilslutter kamera...
ConnectionFormDisconnecting,Afbryder kamera...
ConnectionFormAdding,Tilføjer kamera...
ConnectionFormAddingMany,Tilføjer kameraer...
ConnectionFormChanging,Gemmer i kamera...
ConnectionFormModifyingCredentials,Logger på kameraet...
ConnectionFormChangingCredentials,Ændrer adgangskoden...

ConnectionFormErrorDialogCaption,Tilslut/afbryd kameraer
ConnectionFormAuthTitle,Brugergodkendelse for kamera
ConnectionFormAuthCaption,Dette kamera kræver et brugernavn og adgangskode.
ConnectionFormReAuthCaption,Angiv det opdaterede brugernavn og den opdaterede adgangskode.
ConnectionFormChangeCredentialsCaption,Angiv den nye adgangskode.
ConnectionFormAuthCaptionInvalid,Brugernavn eller adgangskode er ikke korrekt.
ConnectionFormAuthUsernameLabel,Brugernavn:
ConnectionFormAuthPasswordLabel,Adgangskode:
ConnectionFormAuthReEnterPasswordLabel,Bekræft adgangskoden:
ConnectionFormAuthPasswordsDoNotMatch,Adgangskoderne stemmer ikke overens.
ConnectionFormNoSettingsToEditWarning,Der er ingen fælles indstillinger, der kan redigeres for de valgte enheder.

ConnectionFormChangeDeviceTitle,Forbindelsesindstillinger
ConnectionFormConnectDeviceTitle,Tilslut kamera

ConnectionFormChangeDeviceNvrLabel,Skift på server:
ConnectionFormConnectDeviceNvrLabel,Opret forbindelse til:

DeviceInfoPanelConnectedToTitle,Tilsluttet til server %1%
DeviceInfoPanelDisconnectedTitle,Kamera er afbrudt
DeviceInfoPanelDisconnectedText,Dette kamera kan ikke forbindes til en server, dets billeder bliver ikke gemt.
DeviceInfoPanelCameraIncompatibleTitle,Ikke kompatibel på server %1%
DeviceInfoPanelCameraIncompatibleText,Dette kamera er ikke kompatibelt med serveren.
DeviceInfoPanelCameraErrorNetworkTitle,Netværksfejl på server %1%
DeviceInfoPanelCameraErrorNetworkText,Dette kamera kan have en IP-adresse, der tilhører et netværksegment (subnet), der ikke er tilgængeligt for nogen server.
DeviceInfoPanelCameraErrorNotPresentTitle,Ikke til stede på server %1%
DeviceInfoPanelCameraErrorNotPresentText,Kameraet kan have afbrudt forbindelsen til netværket, eller netværket kan være forkert konfigureret.
DeviceInfoPanelCameraErrorWrongEndpointTitle,Ikke til stede på server %1%
DeviceInfoPanelCameraErrorWrongEndpointText,En uventet enhed er tilsluttet på dette kameras IP-adresse.  Kameraet kan have afbrudt forbindelsen til netværket, eller netværket kan være forkert konfigureret.
DeviceInfoPanelCameraFailedTitle,Kamerafejl på server %1%
DeviceInfoPanelCameraFailedText,Kameraet kan ikke streame til serveren.
DeviceInfoPanelCameraUpgradingTitle,Kamera opgraderes
DeviceInfoPanelCameraUpgradingText,Dette kamera bliver opgraderet i øjeblikket og kan forbindelsen kan ikke afbrydes.  Opgradering er afsluttet om få minutter.
DeviceInfoPanelCameraErrorLicenseTitle,Licensfejl på server %1%
DeviceInfoPanelCameraErrorLicenseText,Serverens licens tillader ikke dette kamera at streame.
DeviceInfoPanelCameraErrorResourceInUseTitle,Ikke tilgængelig på server %1%
DeviceInfoPanelCameraErrorResourceInUseText,Kameraet har allerede forbindelse til en anden server.
DeviceInfoPanelCameraErrorAuthFailedTitle,Brugergodkendelse mislykket på server %1%
DeviceInfoPanelCameraErrorAuthFailedText,Brugernavn eller adgangskode, der anvendes for dette kamera, er ikke korrekt.
DeviceInfoPanelCameraSecondaryActiveTitle,Sekundær forbindelse på server %1% (tilsluttet)
DeviceInfoPanelCameraSecondaryActiveFailoverText,Kameraets primære serverforbindelse er mislykket.
DeviceInfoPanelCameraTertiaryActiveTitle,Tertiær forbindelse på server %1% (tilsluttet)
DeviceInfoPanelCameraTertiaryActiveFailoverText,Kameraets primære og sekundære serverforbindelser er mislykkede.
DeviceInfoPanelConnectTitle,Tilslut...
DeviceInfoPanelDisconnectTitle,Afbryd
DeviceInfoPanelChangeTitle,Rediger...
DeviceInfoPanelNumberDevicesSelectedText,%1% enheder er valgt
DeviceInfoPanelModifyCredentialsTitle,Logon til kameraet...
DeviceInfoPanelChangeCredentialsTitle,Skift adgangskoden...
DeviceInfoPanelUnselectedText,Vælg et kamera herover


DeviceConnectionLicenseMessage,Control Center-serverlicensen tillader ikke flere kameraforbindelser.
DeviceConnectionLicenseMessageFailover,Control Center Server-licensen tillader ikke failoverforbindelser.
DeviceConnectionLicenseMessageHDPro,Control Center-serverlicensen tillader ikke HD Pro-kameraforbindelser.
DeviceConnectionUpdateConnectMessage,Der opstod en kommunikationsfejl under forsøg på at tilslutte kameraet.
DeviceConnectionUpdateConnectIncompatible,Dette kamera er ikke kompatibelt med serveren.
DeviceConnectionUpdateConnectResourceInUse,Dette kamera har allerede forbindelse til en anden server.
DeviceConnectionUpdateConnectInsufficientResources,Denne server har ikke tilstrækkelig ledig hukommelse til at tilslutte flere kameraer.
DeviceConnectionUpdateConnectAlreadyExists,Et kamera på denne IP-adresse har allerede forbindelse til serveren.\nAfbryd forbindelsen for kamera %1% på serveren før tilslutning af dette kamera.
DeviceConnectionUpdateConnectAlreadyExistsNoDevice,Et kamera på denne IP-adresse har allerede forbindelse til serveren.
DeviceConnectionUpdateConnectDestinationUnreachable,Der opstod en kommunikationsfejl under forsøg på at tilslutte kameraet.\nKameraet kan have en IP-adresse, der tilhører et netværksegment (subnet), der ikke er tilgængeligt for serveren.
DeviceConnectionUpdateConnectAccessDenied,Kameraforbindelsen er oprettet. Kameraet kan måske ikke være tilgængeligt på grund af tidligere definerede adgangsrettigheder. 
DeviceConnectionUpdateDisconnectMessage,Der opstod en kommunikationsfejl under forsøg på at afbryde forbindelsen til kameraet.
DeviceConnectionUpdateAddMessage,Der opstod en kommunikationsfejl under forsøg på at tilføje kameraet.
DeviceConnectionUpdateAddNotFound,Kameraet blev ikke fundet.
DeviceConnectionUpdateAddDestinationUnreachable,Der opstod en kommunikationsfejl under forsøg på at tilføje kameraet.\nKameraet kan have en IP-adresse, der tilhører et netværksegment (subnet), der ikke er tilgængeligt for serveren.
DeviceConnectionUpdateAddIncompatible,Dette kamera er ikke kompatibelt med serveren.
DeviceConnectionUpdateModifyCredentialsMessage,Der opstod en kommunikationsfejl under forsøg på at ændre adgangskoden.
DeviceConnectionUpdateChangeMessage,Der opstod en kommunikationsfejl under forsøg på at gemme indstillingerne i kameraet.
DeviceConnectionUpdateChangeFailoverLevelMessage,Der opstod en kommunikationsfejl under forsøg på at ændre failoverniveauet for kameraet.
DeviceConnectionUpdateChangeConnectionSecurityMessage,Der opstod en kommunikationsfejl under forsøg på at ændre tilstanden for kamerakontrol.
