#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Bezárás
ClientUpgradeInsufficientPrivilegesWarning,A telepítő nem rendelkezik megfelelő jogosultsággal a program telepítéséhez. A telepítés nem folytatható. Jelentkezzen be rendszergazdaként, vagy forduljon a rendszergazdához.

#################################################
# Client Data Upgrade strings
#################################################

ClientDataUpgradeFormTitle,Ügyféladatok frissítése
ClientDataUpgradeFormCaption,A rendszer az Avigilon Control Center 4 alkalmazásból származó helyi klienskonfigurálási adatokat talált. Ezek között lehetnek elmentett nézetek, térképek, weboldalak és a site nézete. Ezeket az adatokat a használatuk előtt hozzá kell adni a site-hoz.
ClientDataUpgradeButtonUpgrade,Frissítés
ClientDataUpgradeButtonUpgradeText,Helyi kliensadatok frissítése és hozzáadása egy Avigilon Control Center 5 site-hoz 
ClientDataUpgradeButtonArchive,Ne frissítsen
ClientDataUpgradeButtonArchiveText,Ne frissítse az Avigilon Control Center 4 adatait
ClientDataUpgradeButtonLater,Mégse
ClientDataUpgradeButtonLaterText,Őrizze meg az Avigilon Control Center 4 adatait, és döntse el, hogy mit fog tenni a következő bejelentkezés során

ClientDataUpgradeSiteSelectionFormCaption,Válassza ki a helyi kliensadatok hozzáadásának helyét:
ClientDataUpgradeSiteSelectionFormSelectAll,Összes kijelölése/kijelölés megszüntetése
ClientDataUpgradeSiteSelectionFormButtonUpgrade,Frissítés
ClientDataUpgradeSiteSelectionFormButtonCancel,Mégse

ClientDataUpgradeSuccess,A frissítés sikerült
ClientDataUpgradeTransportError,Hiba történt a site-tal való kommunikáció során
ClientDataUpgradeAccessDenied,A felhasználó nem rendelkezik jogosultsággal ahhoz, hogy hozzáadja a kliensadatokat a site-hoz
ClientDataUpgradeInternalError,Belső hiba történt a kliensadatok frissítése során
ClientDataUpgradeResultFormButtonRetry,Próbálja újra


#################################################
# Log In strings
#################################################

LoginTitle,Bejelentkezés egy site-ra
LoginMultiServerLabel,Bejelentkezés a következőre:
LoginAllComboItem,Minden site
LoginUserLabel,Felhasználónév:
LoginPasswordLabel,Jelszó:
LoginCurrentCredentials,Használja az aktuális Windows hitelesítő adatokat
LoginNoServerButtonText,Site keresése...
LoginButtonLabel,Bejelentkezés
LoginErrorMessage,A(z) %1% site-on hibás a felhasználónév vagy a jelszó.
LoginMaxClientsMessage,A(z) %1% site elérte az egyidejű klienscsatlakozások maximális számát.
LoginLanguageLabel,Nyelv
LoginFailedValidateOsCreds,A(z) %1% site nem tudta érvényesíteni a Client aktuálisan bejelentkezett felhasználóját.
LoginNoServerMessage,Nem lehet bejelentkezni egyetlen site-ra sem.
LoginServerLabel,Bejelentkezés a(z) %1% site-ra
LoginOsUserDisabledMessage,A felhasználó le van tiltva a(z) %1% site-on.
LoginUserDisabledMessage,'%1%' felhasználó le van tiltva a(z) %2% site-on.
LoginUserNotFound,A(z) %1% site-on hibás a felhasználónév vagy a jelszó.
LoginUnknownErrorMessage,Kommunikációs hiba történt a(z) %1% site-ra történt bejelentkezés során.
LoginInternalErrorMessage,A(z) %1% site-ra történő bejelentkezési kísérlet során belső hiba történt.
LoginSslErrorMessage,Kommunikációs hiba történt a(z) %1% site-ra történt bejelentkezés során.\nLehet, hogy a kliens SSL-tanúsítványa érvénytelen.
LoginServerClassConflict,A site-ok eltérő licenckiadással rendelkeznek. \nEgyidejűleg nem jelentkezhet be mindkét site-ra.
LoginServerVendorIdConflict,Egyidejűleg nem lehet bejelentkezni különböző szállítók site-jaira.
LoginServerMaxServersConflict,A kliens elérte az egyidejű csatlakozások maximális számát.
LoginLicenseViolation,A(z) %1% site-on található licenckiadás nem engedélyezi az ebből az alkalmazásból történő bejelentkezést.
LoginAlreadyAuthenticatedMessage,A Control Center Client váratlanul leállt, amikor utoljára csatlakozott a(z) %1% site-hoz.\nKérjük, várjon egy kicsit, mielőtt újra bejelentkezne.
LoginWaitText,Bejelentkezés...
LogInCommandText,Bejelentkezés...
LogInCommandToolTip,Bejelentkezés a site-okra
SystemExplorerLogIn,Bejelentkezés...

PasswordEmptyErrorText,Meg kell adni egy jelszót.
PasswordExpiredMessage,A(z) %1% site-on lejárt a jelszava.  Adjon meg egy új jelszót.
PasswordExpiredSameMessage,Régi jelszót nem használhat fel újra.  Adjon meg egy új jelszót.
PasswordMismatchErrorText,A jelszavak nem egyeznek.  Próbálja újra.
PasswordEmptyWarning,A jelszó üres. Folytatja?

ForcedLogoutFormDescription,Elérte a klienscsatlakozások maximális számát. Válasszon ki egy felhasználót, akit leválaszthat, hogy be tudjon jelentkezni:
ForcedLogoutFormUserNameColumn,Felhasználónév
ForcedLogoutFormComputerNameColumn,Számítógép neve
ForcedLogoutFormLoginTime,Bejelentkezés időpontja
ForcedLogoutFormNoSectionError,Ki kell választani egy felhasználót.
ForcedLogoutNotification,%2% kiléptette Önt innen: '%1%'
ForcedLogoutAccessDenied,'%1%' nem jelentkeztethető ki innen: '%2%'
ForcedLogoutFailure,Hiba történt '%1%' kiléptetése során innen: '%2%'

LoginNotifyNewConnections,Értesítést kérek, ha további site-ok válnak elérhetővé
LoginShowPanelOnStartup,Ez a lap jelenjen meg indításkor
LoginSaveSettingsButtonText,Beállítások mentése
LoginSaveSettingsPrompt,Menti a bejelentkezési beállítások módosításait?
LoginButtonLabelConnect,Bejelentkezés
LoginSettingsSavedText,A site bejelentkezési beállításai elmentve
LoginPageTitle,Bejelentkezés egy site-ra
LoginTooltipSiteUnavailable,A site nem érhető el
LoginTooltipSiteConnected,A site csatlakoztatva
LoginTooltipSiteAvailable,A site elérhető
LoginSearchTextHint,Keresés...
LoginTooltipSiteConnecting,Csatlakozás a site-hoz...
LoginSelectLoginServerTitle,Kiszolgáló kiválasztása
LoginSelectSiteHint,Válasszon ki egy vagy több site-ot, ahová be szeretne jelentkezni.
LoginNoAvailableSitesHint,Jelenleg nincs elérhető site.

#################################################
# Log Out strings
#################################################

LogOutCommandText,Kijelentkezés
LogOutCommandToolTip,Kijelentkezés
LogOutPromptCaption,Kijelentkezés
LogOutPromptText,Kijelentkezik az összes site-ról?
LogOutSinglePromptText,Kijelentkezik a(z) %1% site-ról?
SystemExplorerLogOut,Kijelentkezés

#################################################
# Virtual Matrix strings
#################################################

CurrentMonitorName,Monitor neve
CurrentMonitorLogicalId,Monitor logikai azonosítója
UpdateMonitorButton,Frissítés
CreateNewMonitor,Monitor hozzáadása
CloseThisMonitor,Monitor eltávolítása
CloseThisMonitorQueryText,Biztosan eltávolítja ezt a monitort a site-ról?
ExitApplication,Kilépés az alkalmazásból
LogicalIdNotAvailable,Egy másik elmentett nézet vagy monitor már használja a(z) %1% logikai azonosítót.
IllegalLogicalId,A(z) %1% érték nem érvényes logikai azonosító.
LogicalIdNotSet,Nincs beállítva
LogToAnotherCluster,Site/felhasználó változtatása
MonitorSettings,Monitorbeállítások
CurrentCluster,Aktuális site
PrimaryCluster,Elsődleges site
AdditionalClusters,További site-ok
SiteInfo,Site adatai
HelpLink,Súgó
NoOtherClustersToLoginTo,Nincs más site a bejelentkezéshez.
VerifyClusterLogout,A rendszer kilépteti az aktuális site-ról. Folytatja?
NotLoggedToAnyCluster,Jelenleg egyetlen site-ra sincs bejelentkezve.
VMASiteSettingsClusterStatusConnected,Csatlakoztatva
VMASiteSettingsClusterStatusUnavailable,Nem érhető el
VMASiteSettingsClusterStatusAuthenticationFailed,A bejelentkezés sikertelen
VMASiteSettingsSiteListSiteHeader,Site-ok
VMASiteSettingsSiteListStatusHeader,Állapot
VMASiteSettingsAddSiteCommand,Site hozzáadása
VMASiteSettingsRemoveSiteCommand,Site eltávolítása

#################################################
# Server Management Form Strings
#################################################

ServerMgmtDialogTitle,Site keresése
ServerMgmtAddText,Site keresése...
ServerMgmtForgetClusterText,Site elfelejtése
ServerMgmtIpAddressLabel,IP-cím/Gazdagépnév:
ServerMgmtPortLabel,Bázisport:
ServerMgmtConnectionTypeLAN,LAN
ServerMgmtConnectionTypeWAN,WAN
ServerAddInvalidIpAddressError,A megadott IP-cím érvénytelen.
ServerAddErrorAlreadyExists,A megadott IP-címen található site már hozzá lett adva a rendszerhez.
ServerForgetGeneralError,Hiba történt a site eltávolítása során.
ServerAddError,A site nem található.
ServerMgmtSearchingLabel,Keresés...
ServerMgmtForgetClusterError,Hiba a site elfelejtése során.

#################################################
# Idle Server Form Strings
#################################################

IdleTimeoutTitle,Inaktivitás miatti kiléptetés
IdleTimeoutMessage,Ha a megadott időn belül nem történik tevékenység, a rendszer kilépteti az alábbiakban felsorolt site-ról vagy site-okról.
IdleTimeoutSecondsLeft,%1% másodperc


#################################################
# Device Type strings
#################################################

DeviceTypeAvigilon,Avigilon
DeviceTypeAxis,Axis
DeviceTypePanasonic,Panasonic
DeviceTypeArecont,Arecont Vision
DeviceTypeSony,Sony
DeviceTypeSamsung,Samsung
DeviceTypeSanyo,Sanyo
DeviceTypeOnvif,ONVIF
DeviceTypeMobotix,Mobotix
DeviceTypeVideoIq,VideoIQ
DeviceTypeVideoIqRialto,Avigilon Rialto
DeviceTypeLantronix,Lantronix
DeviceTypeActi,ACTi
DeviceTypePelco,Pelco
DeviceTypeIqEye,IQinVision
DeviceTypeMoxa,Moxa
DeviceTypeGenericRtsp,Generic RTSP
DeviceTypeBosch,Bosch
DeviceTypeLocalDigitalIo,Helyi digitális I/O

#################################################
# Server/Cluster Management Strings
#################################################

ClusterMgmtSetupTitle,Site kezelése
ClusterMgmtSetupPageTitle,Site-kezelés
ClusterMgmtSetupPageNameHeader,Név
ClusterMgmtSetupPageNameIpAddress,IP-cím
ClusterMgmtSetupPageNameVersion,Verzió
ClusterMgmtSetupPageNameStatus,Állapot

ClusterMgmtSetupPageStatusReady,Kész
ClusterMgmtSetupPageStatusUpgrading,Frissítés...
ClusterMgmtSetupPageStatusJoining,Csatlakozás...
ClusterMgmtSetupPageStatusHandlingJoin,Foglalt...
ClusterMgmtSetupPageStatusErrorError,Hiba
ClusterMgmtSetupPageStatusErrorNotPresent,Nincs jelen
ClusterMgmtSetupPageStatusErrorIncompatible,Nem kompatibilis
ClusterMgmtSetupPageStatusErrorLicenseViolation,Licenc megsértése
ClusterMgmtSetupPageStatusErrorTimedOut,Lejárt az ideje
ClusterMgmtSetupPageStatusErrorFailed,Sikertelen
ClusterMgmtSetupPageStatusErrorNetworkError,Hálózati hiba
ClusterMgmtSetupPageStatusErrorJoinError,Csatlakozás megsértése
ClusterMgmtSetupPageStatusErrorAccessDenied,A felhasználónak nincs jogosultsága a következőkhöz csatlakozni: %1% és %2%

ClusterMgmtSetupPageSelectedServerStatus,Állapot:
ClusterMgmtSetupPageSelectedServerVersion,Verzió:
ClusterMgmtSetupPageSelectedServerAddress,IP-cím:
ClusterMgmtSetupPageDetachServer,Leválasztás a site-ról...
ClusterMgmtSetupPageMoveServer,Csatlakozás a site-hoz...

ClusterMgmtSetupPageSetParent,Csatlakozás az elsődleges site-hoz...
ClusterMgmtSetupPageRemoveParent,Leválasztás az elsődleges site-ról...
ClusterMgmtSetupPageRemoveChild,Alárendelt site leválasztása...
ClusterMgmtSetupPageParentSiteNameNone,Nincs

ClusterMgmtSetupServerIncompatibleMerge,A(z) %1% nem egyesíthető a(z) %2% site-tal, mert nem kompatibilisek egymással.
ClusterMgmtSetupServerMergeWarning,A(z) %1% hozzáadása a(z) %2% site-hoz egyesíti az összes konfigurációs adatot. A rendszer megőrzi az összes rögzített videót. Biztosan folytatja?
ClusterMgmtSetupServerDetachWarning,Biztosan eltávolítja a(z) %1% site-ot a(z) %2% site-ról?
ClusterMgmtSiteSetupConfirmSetParent,A(z) %1% csatlakoztatása a(z) %2% site-hoz engedélyezi a felhasználókezelési adatok szinkronizálását. Folytatja?
ClusterMgmtSiteSetupConfirmRemoveParent,A(z) %1% leválasztása a(z) %2% site-ról leállítja a felhasználókezelési adatok szinkronizálását. Folytatja?
ClusterMgmtSetupCannotSetParent,A(z) %1% nem csatlakoztatható a(z) %2% site-hoz.
ClusterMgmtSetupCannotJoinParent,A(z) %1% site-nak van egy alárendelt site-ja. A(z) %2% csatlakozó kiszolgáló nem támogatja az alárendelt site-okat.
ClusterMgmtSetupCannotLeaveParent,A(z) %1% site-nak van egy alárendelt site-ja. A(z) %2% utolsó kiszolgáló nem tud kilépni a site-ról.
ClusterMgmtSetupCannotJoinClusterMaxSize,A(z) %1% site-tag legfeljebb %2% kiszolgálót támogat egy site-on.
ClusterMgmtSetupCannotJoinClusterMaxDeviceCount,A(z) %1% site-tag legfeljebb %2% eszközt támogat egy site-on.
ClusterMgmtSetupCannotJoinServerSizeLimit,A(z) %1% kiszolgáló nem tud csatlakozni több mint %2% kiszolgálóval vagy %3% eszközzel rendelkező site-okhoz.
ClusterMgmtSiteSetupConfirmRevokeAccess,A(z) %1% leválasztása a(z) %2% site-ról letiltja az adatok szinkronizálását. Folytatja?
ClusterMgmtSiteSetupErrorCannotLeaveParent,Nem lehet leválasztani az elsődleges site-ról.
ClusterMgmtSetupCannotSetParentToItself,A(z) %1% nem csatlakoztatható saját magához.

ClusterMgmtSetupErrorNotInitialized,A kiszolgáló jelenleg inicializálást hajt végre, ezért nem helyezhető át.
ClusterMgmtSetupErrorInProgress,A site jelenleg foglalt, így nem tudja feldolgozni a kérést.
ClusterMgmtSetupErrorIncompatible,Ez a kiszolgáló nem kompatibilis a site-tal.\nA kiszolgálót frissíteni kell.
ClusterMgmtSetupErrorNoCompatibleSites,A kiszolgáló nem kompatibilis a(z) %1% site-tal. Lehet, hogy frissítenie kell a kiszolgálót.
ClusterMgmtSetupErrorRequirementsUnsatisfied,Hiba történt a kiszolgáló áthelyezése során.
ClusterMgmtSetupErrorInvalidArgument,Hiba történt a kiszolgáló áthelyezése során.
ClusterMgmtSetupErrorNotPossible,Hiba történt a kiszolgáló áthelyezése során.
ClusterMgmtSetupErrorRemoved,Hiba történt a kiszolgáló áthelyezése során.
ClusterMgmtSetupErrorLicenseViolation,A site nem rendelkezik licenccel a kérés feldolgozásához.
ClusterMgmtSetupErrorGeneral,Hiba történt a kiszolgáló áthelyezése során.
ClusterMgmtSetupErrorNoOtherSiteToJoin,Nem lehet csatlakoztatni a kiszolgálót egyetlen site-hoz sem.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,A(z) %1% kiszolgáló nem adható hozzá a(z) %2% site-hoz, amíg a(z) %2% site összes kiszolgálója elérhetővé nem válik. Új kiszolgáló hozzáadása előtt távolítsa el vagy szabadítsa fel az elérhetetlen kiszolgálókat a(z) %2% site-ról.
ClusterMgmtSetupErrorConflictingLdapDomains,A kiszolgáló ütköző Active Directory-tartományt használ.
ClusterMgmtSetupCannotJoinChildToOtherServers,A(z) %1% kiszolgálót már csatlakoztatták egy elsődleges site-hoz.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,Nincs elérhető elsődleges site. Nem hozhat létre site-családot.
ClusterMgmtSiteSetupSetParentErrorGeneral,Hiba történt egy elsődleges site-hoz való csatlakozás során.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,Hiba történt az elsődleges site-ról való leválasztás során.
ClusterMgmtSiteSetupSetParentErrorNoRoute,Nem lehet csatlakozni az elsődleges site-hoz. Szeretné elvégezni manuálisan a csatlakoztatást az elsődleges site IP-címének használatával?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,A felhasználónak nincs jogosultsága ahhoz, hogy a(z) %1% kiszolgálót csatlakoztassa a(z) %2% site-hoz.
ClusterMgmtSiteSetupManualConnectTitle,Csatlakozás az elsődleges site-hoz

ClusterMgmtSetupMergingOverlayText,A kiszolgáló áthelyezése...
ClusterMgmtSetupDetachOverlayText,A kiszolgáló áthelyezése...

ClusterMgmtSetupMergingSiteOverlayText,Csatlakozás az elsődleges site-hoz...
ClusterMgmtSetupDetachingSiteOverlayText,Leválasztás az elsődleges site-ról...

ClusterSelectionFormComboLabel,Csatlakozás a következőhöz: 
ClusterMgmtRevokeAccessLabel,Alárendelt site leválasztása: 

ClusterMgmtSiteFamilyInfoChildSite,Alárendelt site
ClusterMgmtSiteFamilyInfoParentSite,Elsődleges site

ClusterNetworkSettingsConnectionSpeed,Csatlakozási sebesség:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,Ismeretlen
ClusterNetworkSettingsRemoveCluster,Site eltávolítása
ClusterNetworkSettingsAutomaticClusterLabel,Automatikusan észlelt site
ClusterNetworkSettingsClusterUnselectedText,Válasszon ki egy site-ot a listából
ClusterNetworkSettingsEndpointsLabel,Site végpontjai:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,Észlelt kamerák
DisconnectedDeviceMessage,Az alábbiakban felsorolt kamerákat a rendszer automatikusan észlelte.
DisconnectedDeviceConnectText,Csatlakoztatás
DisconnectedDeviceConnectMessage,Lépjen a „Kamerák csatlakoztatása/leválasztása” ablakra
DisconnectedDeviceNoConnectText,Ne csatlakoztassa
DisconnectedDeviceNoConnectMessage,Hagyja a kamerákat leválasztva

ShowServerConnectionFormCommandText,Kamerák csatlakoztatása/leválasztása...


DeviceConnectionSetupTitle,Kamerák csatlakoztatása/leválasztása
ConnectionFormFindDeviceLabel,Kamera keresése...
ConnectionFormFocusAllNvrs,Összes kiszolgáló megjelenítése
ConnectionFormDiscoveredLabel,Észlelt kamerák
ConnectionFormConnectedLabel,Csatlakoztatott kamerák

ConnectionFormDeviceListNameTitle,Név
ConnectionFormDeviceListIpAddressTitle,IP-cím
ConnectionFormDeviceListBrandTitle,Típus
ConnectionFormDeviceListModelTitle,Modell
ConnectionFormDeviceListMacAddressTitle,MAC-cím
ConnectionFormDeviceListStatusTitle,Állapot
ConnectionFormSearchingForDevice,Kamerák keresése...

ConnectionErrorFormDeviceNameTitle,Név
ConnectionErrorFormErrorTitle,Hibaüzenet

ConnectionFormApiTypeLabel,Kamera típusa:

ConnectionFormConnectionTypeLabel,Csatlakozás típusa:
ConnectionFormConnectionTypePrimary,Elsődleges
ConnectionFormConnectionTypeSecondary,Másodlagos
ConnectionFormConnectionTypeTertiary,Harmadlagos
ConnectionFormPriorityLabel,Licenc prioritása:
ConnectionFormSupportsSecureConnection,Kameravezérlés:
ConnectionFormSupportsSecureConnectionSecure,Biztonságos
ConnectionFormSupportsSecureConnectionUnsecure,Nem biztonságos


ConnectionFormConnecting,Kamera csatlakoztatása...
ConnectionFormDisconnecting,Kamera leválasztása...
ConnectionFormAdding,Kamera hozzáadása...
ConnectionFormAddingMany,Kamerák hozzáadása...
ConnectionFormChanging,Mentés a kamerára...
ConnectionFormModifyingCredentials,Bejelentkezés a kamerára...
ConnectionFormChangingCredentials,Jelszó módosítása...

ConnectionFormErrorDialogCaption,Kamerák csatlakoztatása/leválasztása
ConnectionFormAuthTitle,Kamera hitelesítése
ConnectionFormAuthCaption,A kamera felhasználónevet és jelszót igényel.
ConnectionFormReAuthCaption,Írja be a frissített felhasználónevet és jelszót.
ConnectionFormChangeCredentialsCaption,Írja be az új jelszót.
ConnectionFormAuthCaptionInvalid,Hibás a felhasználónév vagy a jelszó.
ConnectionFormAuthUsernameLabel,Felhasználónév:
ConnectionFormAuthPasswordLabel,Jelszó:
ConnectionFormAuthReEnterPasswordLabel,A jelszó megerősítése:
ConnectionFormAuthPasswordsDoNotMatch,A jelszavak nem egyeznek.
ConnectionFormNoSettingsToEditWarning,A kijelölt eszközökhöz nincsenek szerkeszthető általános beállítások.

ConnectionFormChangeDeviceTitle,Csatlakozási beállítások
ConnectionFormConnectDeviceTitle,Kamera csatlakoztatása

ConnectionFormChangeDeviceNvrLabel,Változtatás a kiszolgálón:
ConnectionFormConnectDeviceNvrLabel,Csatlakozás a következőhöz:

DeviceInfoPanelConnectedToTitle,A(z) %1% kiszolgálóhoz csatlakoztatva
DeviceInfoPanelDisconnectedTitle,A kamera le van választva
DeviceInfoPanelDisconnectedText,A kamera nem csatlakozik kiszolgálóhoz, ezért a képei nem lesznek rögzítve.
DeviceInfoPanelCameraIncompatibleTitle,Nem kompatibilis a(z) %1% kiszolgálón
DeviceInfoPanelCameraIncompatibleText,Ez a kamera nem kompatibilis a kiszolgálóval.
DeviceInfoPanelCameraErrorNetworkTitle,Hálózati hiba a(z) %1% kiszolgálón
DeviceInfoPanelCameraErrorNetworkText,Lehet, hogy a kamera egy olyan hálózati szegmenshez (alhálózathoz) tartozó IP-címmel rendelkezik, amelyik nem érhető el egyetlen kiszolgáló számára sem.
DeviceInfoPanelCameraErrorNotPresentTitle,Nem található a(z) %1% kiszolgálón
DeviceInfoPanelCameraErrorNotPresentText,Lehet, hogy a kamerát leválasztották a hálózatról, vagy a hálózatot nem megfelelően konfigurálták.
DeviceInfoPanelCameraErrorWrongEndpointTitle,Nem található a(z) %1% kiszolgálón
DeviceInfoPanelCameraErrorWrongEndpointText,Váratlan eszközt csatlakoztattak a kamera IP-címén.  Lehet, hogy a kamerát leválasztották a hálózatról, vagy a hálózatot nem megfelelően konfigurálták.
DeviceInfoPanelCameraFailedTitle,Kamerahiba a(z) %1% kiszolgálón
DeviceInfoPanelCameraFailedText,A kamera nem tud adatfolyamot küldeni a kiszolgálónak.
DeviceInfoPanelCameraUpgradingTitle,A kamera frissítés alatt áll
DeviceInfoPanelCameraUpgradingText,A kamera jelenleg frissítés alatt áll, ezért nem lehet leválasztani.  A frissítés néhány percen belül befejeződik.
DeviceInfoPanelCameraErrorLicenseTitle,Licenchiba a(z) %1% kiszolgálón
DeviceInfoPanelCameraErrorLicenseText,A kiszolgáló licence nem engedélyezi, hogy a kamera adatfolyamot küldjön.
DeviceInfoPanelCameraErrorResourceInUseTitle,Nem érhető el a(z) %1% kiszolgálón
DeviceInfoPanelCameraErrorResourceInUseText,A kamerát már egy másik kiszolgálóhoz csatlakoztatták.
DeviceInfoPanelCameraErrorAuthFailedTitle,A(z) %1% kiszolgálón sikertelen a hitelesítés
DeviceInfoPanelCameraErrorAuthFailedText,A kamerához használt felhasználónév vagy jelszó hibás.
DeviceInfoPanelCameraSecondaryActiveTitle,Másodlagos csatlakozás a(z) %1% kiszolgálón (Csatlakoztatva)
DeviceInfoPanelCameraSecondaryActiveFailoverText,A kamera elsődleges kiszolgálói csatlakozása nem sikerült.
DeviceInfoPanelCameraTertiaryActiveTitle,Harmadlagos csatlakozás a(z) %1% kiszolgálón (Csatlakoztatva)
DeviceInfoPanelCameraTertiaryActiveFailoverText,A kamera elsődleges és másodlagos kiszolgálói csatlakozása nem sikerült.
DeviceInfoPanelConnectTitle,Csatlakozás...
DeviceInfoPanelDisconnectTitle,Leválasztás
DeviceInfoPanelChangeTitle,Szerkesztés...
DeviceInfoPanelNumberDevicesSelectedText,%1% eszköz van kiválasztva
DeviceInfoPanelModifyCredentialsTitle,Bejelentkezés a kamerára...
DeviceInfoPanelChangeCredentialsTitle,Jelszó módosítása...
DeviceInfoPanelUnselectedText,Válasszon ki a fentiek közül egy kamerát


DeviceConnectionLicenseMessage,A Control Center Server licence nem engedélyezi több kamera csatlakoztatását.
DeviceConnectionLicenseMessageFailover,A Control Center Server licence nem engedélyezi a tartalékszerver kapcsolatokat.
DeviceConnectionLicenseMessageHDPro,A Control Center Server licence nem engedélyezi HD Pro kamerák csatlakoztatását.
