#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Lukk
ClusterMgmtSetupErrorInProgress,Stedet er opptatt og kan ikke behandle forespørselen.
ClusterMgmtSetupErrorIncompatible,Denne serveren er inkompatibel med stedet.\nServeren må oppgraderes.
ClusterMgmtSetupErrorNoCompatibleSites,Serveren er inkompatibel med %1%. Du må kanskje oppgradere denne serveren.
ClusterMgmtSetupErrorRequirementsUnsatisfied,Det oppstod en feil under forsøk på å flytte serveren.
ClusterMgmtSetupErrorInvalidArgument,Det oppstod en feil under forsøk på å flytte serveren.
ClusterMgmtSetupErrorNotPossible,Det oppstod en feil under forsøk på å flytte serveren.
ClusterMgmtSetupErrorRemoved,Det oppstod en feil under forsøk på å flytte serveren.
ClusterMgmtSetupErrorLicenseViolation,Stedet er ikke lisensiert for å behandle denne forespørselen.
ClusterMgmtSetupErrorGeneral,Det oppstod en feil under forsøk på å flytte serveren.
ClusterMgmtSetupErrorNoOtherSiteToJoin,Ingen steder tilgjengelig for tilkobling av denne serveren.
ClusterMgmtSetupErrorNotReadyUnavaibleServers,Server %1% kan ikke legges til sted %2% før alle servere på sted %2% blir tilgjengelig. Fjern eller løs utilgjengelige servere fra sted %2% før du legger til en ny server.
ClusterMgmtSetupErrorConflictingLdapDomains,Denne serveren bruker et Active Directory-domene som er i konflikt.
ClusterMgmtSetupCannotJoinChildToOtherServers,Server %1% er allerede koblet til et overordnet sted.

ClusterMgmtSiteSetupErrorNoParentSiteToJoin,Det er ingen tilgjengelige overordnede steder. Du kan ikke opprette en stedsfamilie.
ClusterMgmtSiteSetupSetParentErrorGeneral,Det oppstod en feil under forsøk på å koble til et overordnet sted.
ClusterMgmtSiteSetupRemoveParentErrorGeneral,Det oppstod en feil under frakobling fra det overordnede stedet.
ClusterMgmtSiteSetupSetParentErrorNoRoute,Kan ikke koble til overordnet sted. Vil du koble til manuelt ved å bruke IP-adressen til det overordnede stedet?
ClusterMgmtSiteSetupSetParentErrorAccessDenied,Bruker har ikke tillatelse til å koble til %1% to %2%
ClusterMgmtSiteSetupManualConnectTitle,Koble til overordnet sted

ClusterMgmtSetupMergingOverlayText,Flytter server...
ClusterMgmtSetupDetachOverlayText,Flytter server...

ClusterMgmtSetupMergingSiteOverlayText,Kobler til overordnet sted...
ClusterMgmtSetupDetachingSiteOverlayText,Kobler fra overordnet sted...

ClusterSelectionFormComboLabel,Koble til: 
ClusterMgmtRevokeAccessLabel,Koble fra underordnet sted: 

ClusterMgmtSiteFamilyInfoChildSite,Underordnet sted
ClusterMgmtSiteFamilyInfoParentSite,Overordnet sted

ClusterNetworkSettingsConnectionSpeed,Tilkoblingshastighet:
ClusterNetworkSettingsLANLabel,LAN
ClusterNetworkSettingsWANLabel,WAN
ClusterNetworkSettingsUnknownLabel,Ukjent
ClusterNetworkSettingsRemoveCluster,Fjern sted
ClusterNetworkSettingsAutomaticClusterLabel,Automatisk oppdaget sted
ClusterNetworkSettingsClusterUnselectedText,Velg et sted fra listen
ClusterNetworkSettingsEndpointsLabel,Stedssluttpunkter:

#################################################
# Connect/Disconnect Cameras Strings
#################################################

DisconnectedDeviceTitle,Oppdagede kameraer
DisconnectedDeviceMessage,Kameraene nedenfor er oppdaget automatisk.
DisconnectedDeviceConnectText,Koble til
DisconnectedDeviceConnectMessage,Gå til vinduet Koble til / koble fra kameraer
DisconnectedDeviceNoConnectText,Ikke koble til
DisconnectedDeviceNoConnectMessage,La kameraene være frakoblet

ShowServerConnectionFormCommandText,Koble til / koble fra kameraer...


DeviceConnectionSetupTitle,Koble til / koble fra kameraer
ConnectionFormFindDeviceLabel,Finn kamera...
ConnectionFormFocusAllNvrs,Vis alle servere
ConnectionFormDiscoveredLabel,Oppdagede kameraer
ConnectionFormConnectedLabel,Tilkoblede kameraer

ConnectionFormDeviceListNameTitle,Navn
ConnectionFormDeviceListIpAddressTitle,IP-adresse
ConnectionFormDeviceListBrandTitle,Type
ConnectionFormDeviceListModelTitle,Modell
ConnectionFormDeviceListMacAddressTitle,MAC-adresse
ConnectionFormDeviceListStatusTitle,Status
ConnectionFormSearchingForDevice,Søker etter kameraer...

ConnectionErrorFormDeviceNameTitle,Navn
ConnectionErrorFormErrorTitle,Feilmelding

ConnectionFormApiTypeLabel,Kameratype:

ConnectionFormConnectionTypeLabel,Tilkoblingstype:
ConnectionFormConnectionTypePrimary,Primær
ConnectionFormConnectionTypeSecondary,Sekundær
ConnectionFormConnectionTypeTertiary,Tertiær
ConnectionFormPriorityLabel,Lisensprioritet:
ConnectionFormSupportsSecureConnection,Kamerakontroll:
ConnectionFormSupportsSecureConnectionSecure,Sikker
ConnectionFormSupportsSecureConnectionUnsecure,Usikker


ConnectionFormConnecting,Kobler til kamera...
ConnectionFormDisconnecting,Kobler fra kamera...
ConnectionFormAdding,Legger til kamera...
ConnectionFormAddingMany,Legger til kameraer...
ConnectionFormChanging,Lagrer til kamera...
ConnectionFormModifyingCredentials,Logger på kamera...
ConnectionFormChangingCredentials,Endrer passord...

ConnectionFormErrorDialogCaption,Koble til / koble fra kameraer
ConnectionFormAuthTitle,Kameragodkjenning
ConnectionFormAuthCaption,Dette kameraet krever brukernavn og passord.
ConnectionFormReAuthCaption,Oppgi oppdatert brukernavn og passord.
ConnectionFormChangeCredentialsCaption,Oppgi det nye passordet.
ConnectionFormAuthCaptionInvalid,Brukernavn eller passord er feil.
ConnectionFormAuthUsernameLabel,Brukernavn:
ConnectionFormAuthPasswordLabel,Passord:
ConnectionFormAuthReEnterPasswordLabel,Bekreft passord:
ConnectionFormAuthPasswordsDoNotMatch,Passordene stemmer ikke overens.
ConnectionFormNoSettingsToEditWarning,Ingen felles innstillinger tilgjengelig for redigering for valgte enheter.

ConnectionFormChangeDeviceTitle,Tilkoblingsinnstillinger
ConnectionFormConnectDeviceTitle,Koble til kamera

ConnectionFormChangeDeviceNvrLabel,Endre på server:
ConnectionFormConnectDeviceNvrLabel,Koble til:

DeviceInfoPanelConnectedToTitle,Koblet til server %1%
DeviceInfoPanelDisconnectedTitle,Kamera er frakoblet
DeviceInfoPanelDisconnectedText,Dette kameraet er ikke koblet til en server og bildene på det blir ikke tatt opp.
DeviceInfoPanelCameraIncompatibleTitle,Inkompatibelt på server %1%
DeviceInfoPanelCameraIncompatibleText,Dette kameraet er ikke kompatibelt med serveren.
DeviceInfoPanelCameraErrorNetworkTitle,Nettverksfeil på server %1%
DeviceInfoPanelCameraErrorNetworkText,Dette kameraet kan ha en IP-adresse som hører til et nettverkssegment (delnett) som ikke er tilgjengelig for noen server.
DeviceInfoPanelCameraErrorNotPresentTitle,Ikke tilstede på server %1%
DeviceInfoPanelCameraErrorNotPresentText,Kameraet kan være koblet fra nettverket eller nettverket kan være konfigurert feil.
DeviceInfoPanelCameraErrorWrongEndpointTitle,Ikke tilstede på server %1%
DeviceInfoPanelCameraErrorWrongEndpointText,En uventet enhet er koblet til på dette kameraets IP-adresse.  Kameraet kan være koblet fra nettverket eller nettverket kan være konfigurert feil.
DeviceInfoPanelCameraFailedTitle,Kamerafeil på server %1%
DeviceInfoPanelCameraFailedText,Kameraet kan ikke strømme til serveren.
DeviceInfoPanelCameraUpgradingTitle,Kameraet oppgraderes
DeviceInfoPanelCameraUpgradingText,Dette kameraet oppgraderes nå og kan ikke kobles fra.  Oppgraderingen skulle være fullført om få minutter.
DeviceInfoPanelCameraErrorLicenseTitle,Lisensfeil på server %1%
DeviceInfoPanelCameraErrorLicenseText,Serverens lisens tillater ikke at dette kameraet strømmer.
DeviceInfoPanelCameraErrorResourceInUseTitle,Utilgjengelig på server %1%
DeviceInfoPanelCameraErrorResourceInUseText,Kameraet er allerede koblet til en annen server.
DeviceInfoPanelCameraErrorAuthFailedTitle,Godkjenning mislyktes på server %1%
DeviceInfoPanelCameraErrorAuthFailedText,Brukernavnet eller passordet som brukes for dette kameraet, er feil.
DeviceInfoPanelCameraSecondaryActiveTitle,Sekundær tilkobling på server %1% (tilkoblet)
DeviceInfoPanelCameraSecondaryActiveFailoverText,Kameraets primære servertilkobling har sviktet.
DeviceInfoPanelCameraTertiaryActiveTitle,Tertiær tilkobling på server %1% (tilkoblet)
DeviceInfoPanelCameraTertiaryActiveFailoverText,Kameraets primære og sekundære servertilkobling har sviktet.
DeviceInfoPanelConnectTitle,Koble til...
DeviceInfoPanelDisconnectTitle,Koble fra
DeviceInfoPanelChangeTitle,Rediger...
DeviceInfoPanelNumberDevicesSelectedText,%1% enheter valgt
DeviceInfoPanelModifyCredentialsTitle,Logg på kamera...
DeviceInfoPanelChangeCredentialsTitle,Endre passord...
DeviceInfoPanelUnselectedText,Velg et kamera ovenfor


DeviceConnectionLicenseMessage,Control Center Server-lisensen tillater ikke flere kameratilkoblinger.
DeviceConnectionLicenseMessageFailover,Control Center Server-lisensen tillater ikke failover-tilkoblinger.
DeviceConnectionLicenseMessageHDPro,Control Center Server-lisensen tillater ikke HD Pro-kameratilkoblinger.
DeviceConnectionUpdateConnectMessage,Det oppstod en kommunikasjonsfeil under forsøk på å koble til kameraet.
DeviceConnectionUpdateConnectIncompatible,Dette kameraet er inkompatibelt med serveren.
DeviceConnectionUpdateConnectResourceInUse,Dette kameraet er allerede koblet til en annen server.
DeviceConnectionUpdateConnectInsufficientResources,Denne serveren har ikke nok tilgjengelig minne til å koble til flere kameraer.
DeviceConnectionUpdateConnectAlreadyExists,Et kamera på denne IP-adressen er allerede koblet til serveren.\nKoble kamera %1% fra serveren før du kobler til dette kameraet.
DeviceConnectionUpdateConnectAlreadyExistsNoDevice,Et kamera på denne IP-adressen er allerede koblet til serveren.
DeviceConnectionUpdateConnectDestinationUnreachable,Det oppstod en kommunikasjonsfeil under forsøk på å koble til kameraet.\nKameraet kan ha en IP-adresse som hører til et nettverkssegment (delnett) som ikke er tilgjengelig for serveren.
DeviceConnectionUpdateConnectAccessDenied,Kameratilkobling var vellykket. Kameraet er kanskje ikke tilgjengelig på grunn av tidligere definerte tilgangsrettigheter. 
DeviceConnectionUpdateDisconnectMessage,Det oppstod en kommunikasjonsfeil under forsøk på å koble fra kameraet.
DeviceConnectionUpdateAddMessage,Det oppstod en kommunikasjonsfeil under forsøk på å legge til kameraet.
DeviceConnectionUpdateAddNotFound,Fant ikke kameraet.
DeviceConnectionUpdateAddDestinationUnreachable,Det oppstod en kommunikasjonsfeil under forsøk på å legge til kameraet.\nKameraet kan ha en IP-adresse som hører til et nettverkssegment (delnett) som ikke er tilgjengelig for serveren.
DeviceConnectionUpdateAddIncompatible,Dette kameraet er inkompatibelt med serveren.
DeviceConnectionUpdateModifyCredentialsMessage,Det oppstod en kommunikasjonsfeil under forsøk på å endre passordet.
DeviceConnectionUpdateChangeMessage,Det oppstod en kommunikasjonsfeil under forsøk på å lagre innstillingene til kameraet.
DeviceConnectionUpdateChangeFailoverLevelMessage,Det oppstod en kommunikasjonsfeil under forsøk på å endre failover-nivået for kameraet.
DeviceConnectionUpdateChangeConnectionSecurityMessage,Det oppstod en kommunikasjonsfeil under forsøk på å endre kamerakontrollmodus.
DeviceConnectionUpdateAddMultiIncompatible,Alle kameraene som ble funnet, var inkompatible med serveren.
DeviceConnectionUpdateAddMultiSomeIncompatible,Noen av kameraene som ble funnet, var inkompatible med serveren.
DeviceConnectionUpdateAddMultiSomeAuthFailed,Brukernavnet eller passordet var feil for noen av kameraene som ble funnet.
DeviceConnectionUpdateAddMultiNotFound,Fant ingen kameraer i IP-området.
DeviceConnectionGenericErrorMessage,Det har oppstått en feil i én eller flere enheter. Se detaljer for mer informasjon.
